,...1,Species,Colony,Site,Temp,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
1,1,Porites,POR_38,Papagayo,22,20260216,2/16/2026,36004,459.9,-0.3,18.2,16.6,341.9,583,241,0.413,381.7,0.28,0.64,381,0.23,1735,0.13,126067,--------,-------,743,17132,0,698.6,743.3,44.7,0.06,174.7,0,0.075,648,0.891,17689,0.034,33026,--------,-------,16374,16941,61.1
2,2,Porites,POR_39,Papagayo,22,20260216,2/16/2026,36048,619.6,-0.2,18.2,16.55,225.9,379.8,154,0.405,358,0.26,0.66,382,0.21,1603,0.14,159841,--------,-------,674,22452,300,475.9,495.4,19.5,0.039,169.9,0,0.022,630,0.937,17052,0.041,46463,--------,-------,16673,17898,60
3,3,Porites,POR_35,Papagayo,22,20260216,2/16/2026,36087,433.7,-0.3,18.2,16.54,233.1,415.7,182.6,0.439,345.9,0.29,0.69,464,0.16,2146,0.16,126057,--------,-------,779,20436,200,499.1,530.3,31.2,0.059,157,0.33,0.113,622,0.876,19884,0.011,23467,--------,-------,17681,17745,56.6
4,4,Porites,POR_34,Papagayo,22,20260216,2/16/2026,36124,846.8,-0.3,18.3,16.52,142,244.5,102.5,0.419,319.6,0.29,0.67,364,0.19,2023,0.14,181727,--------,-------,729,26295,500,323.4,335.4,12,0.036,172.3,0,0.231,117,0.745,17908,0.024,48033,--------,-------,13702,14517,73
5,5,Porites,POR_36,Papagayo,22,20260216.01,2/16/2026,36182,592.8,-0.2,18.4,16.51,190.4,323.4,133.1,0.411,337.1,0.3,0.62,338,0.24,1685,0.14,232944,--------,-------,716,32418,300,402.4,426.6,24.2,0.057,142.4,0.04,0.151,396,0.832,19505,0.017,19531,--------,-------,16569,16620,60.4
6,6,Poccilopora,POC_26,Papagayo,22,20260216.01,2/16/2026,36250,390.3,-0.2,18.5,16.49,182.1,301,118.9,0.395,307.8,0.28,0.64,377,0.19,2034,0.16,150120,--------,-------,763,25316,300,348.1,370.6,22.5,0.061,154.4,0.31,0.125,660,0.863,18531,0.012,19024,--------,-------,16272,16304,61.5
7,7,Poccilopora,POC_27,Papagayo,22,20260216.01,2/16/2026,36280,672.4,-0.3,18.5,16.48,175.7,296.2,120.6,0.407,331,0.27,0.61,330,0.23,1848,0.16,137054,--------,-------,750,22338,400,399,414.6,15.6,0.038,203.7,0,0.689,30,0.299,17729,0.012,43303,--------,-------,5391,5840,185.5
8,8,Poccilopora,POC_24,Papagayo,22,20260216.01,2/16/2026,36328,470.7,-0.3,18.5,16.47,173.6,294.3,120.7,0.41,291.2,0.27,0.66,418,0.17,2495,0.18,141779,--------,-------,836,26088,400,349.1,370.9,21.8,0.059,154.6,0.34,0.095,516,0.896,18936,0.009,22507,--------,-------,17172,17222,58.2
9,9,Poccilopora,POC_25,Papagayo,22,20260216.01,2/16/2026,36353,579.6,-0.2,18.6,16.45,151.2,227.7,76.5,0.336,270.4,0.24,0.59,324,0.22,2276,0.19,189641,--------,-------,862,36981,500,268.2,294.4,26.2,0.089,168.1,0.41,0.821,27,0.164,16146,0.015,46644,--------,-------,2717,3370,368
10,10,Poccilopora,POC_28,Papagayo,22,20260216.01,2/16/2026,36501,408.6,-0.3,18.8,16.42,152.9,251.8,98.9,0.393,289.7,0.22,0.62,358,0.22,2296,0.17,206346,--------,-------,859,34935,400,287,307.6,20.7,0.067,141.2,0.08,0.134,651,0.016,18547,0.851,18553,--------,-------,16124,16162,62
11,11,Porites,POR_39,Papagayo,24,20260216.01,2/16/2026,40123,486.7,-0.3,21,16.49,281.5,474.6,193.1,0.407,330.1,0.26,0.64,451,0.2,2360,0.16,127801,--------,-------,908,21220,0,519.8,553.9,34.1,0.062,147.7,0.05,0.11,504,0.015,17935,0.875,17988,--------,-------,16039,16068,62.3
12,12,Porites,POR_38,Papagayo,24,20260216.01,2/16/2026,40162,660.4,-0.3,21.1,16.45,184.8,311.9,127.1,0.408,268.8,0.26,0.69,446,0.15,2845,0.16,161116,--------,-------,872,27156,400,362.7,381.9,19.2,0.05,136.7,0.24,0.127,380,0.86,21157,0.013,27566,--------,-------,18483,18598,54.1
13,13,Porites,POR_34,Papagayo,24,20260216.01,2/16/2026,40195,456,-0.3,21.1,16.45,213.4,370.3,156.9,0.424,310.5,0.25,0.73,453,0.11,3211,0.16,152761,--------,-------,809,25399,300,416.3,452,35.7,0.079,148.6,0.14,0.16,560,0.02,19281,0.82,19346,--------,-------,16278,16337,61.4
14,14,Porites,POR_35,Papagayo,24,20260216.01,2/16/2026,40226,503.5,-0.3,21.1,16.44,176.5,320.3,143.8,0.449,256.1,0.3,0.63,425,0.2,2084,0.17,132395,--------,-------,820,22869,400,354.9,376.8,21.9,0.058,157.5,0.34,0.11,466,0.881,18149,0.01,21996,--------,-------,16194,16250,61.8
