Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
85788,11/2/26 19:40:05,0.000,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.727,μmol/L,23.195,°C,1012.000,hPa,Humid,0,0,,0,25.773,128069,305922.33,31.50,2500.00,#N/A
85797,11/2/26 19:40:07,0.033,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.536,μmol/L,23.219,°C,1012.000,hPa,Humid,0,0,,0,25.776,128078,305893.63,31.50,2500.00,#N/A
85805,11/2/26 19:40:09,0.067,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.528,μmol/L,23.213,°C,1012.000,hPa,Humid,0,0,,0,25.779,128090,305902.03,31.50,2500.00,#N/A
85812,11/2/26 19:40:11,0.099,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.373,μmol/L,23.231,°C,1012.000,hPa,Humid,0,0,,0,25.782,128131,305906.99,31.50,2500.00,#N/A
85821,11/2/26 19:40:13,0.133,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.540,μmol/L,23.201,°C,1012.000,hPa,Humid,0,0,,0,25.783,128133,305898.07,31.50,2500.00,#N/A
85829,11/2/26 19:40:15,0.167,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.295,μmol/L,23.219,°C,1012.000,hPa,Humid,0,0,,0,25.792,128164,305906.01,31.50,2500.00,#N/A
85837,11/2/26 19:40:17,0.200,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.323,μmol/L,23.207,°C,1012.000,hPa,Humid,0,0,,0,25.795,128191,305904.05,31.50,2500.00,#N/A
85845,11/2/26 19:40:19,0.233,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.181,μmol/L,23.213,°C,1012.000,hPa,Humid,0,0,,0,25.802,128211,305911.17,31.50,2500.00,#N/A
85853,11/2/26 19:40:21,0.267,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.224,μmol/L,23.201,°C,1012.000,hPa,Humid,0,0,,0,25.804,128217,305899.10,31.50,2500.00,#N/A
85861,11/2/26 19:40:23,0.300,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.188,μmol/L,23.207,°C,1012.000,hPa,Humid,0,0,,0,25.804,128223,305906.55,31.50,2500.00,#N/A
85869,11/2/26 19:40:25,0.333,Sensors!A8:F8,'Oxygen Calibrations'!A8:T8,BECORAL,180.109,μmol/L,23.225,°C,1012.000,hPa,Humid,0,0,,0,25.802,128236,305901.04,31.50,2500.00,#N/A
