Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
85782,11/2/26 19:40:05,0.000,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,187.250,μmol/L,23.437,°C,1011.000,hPa,Humid,0,0,,0,25.564,112348,306245.36,34.50,2500.00,#N/A
85790,11/2/26 19:40:07,0.033,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,187.173,μmol/L,23.437,°C,1011.000,hPa,Humid,0,0,,0,25.569,112359,306210.49,34.50,2500.00,#N/A
85798,11/2/26 19:40:09,0.067,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,187.159,μmol/L,23.431,°C,1011.000,hPa,Humid,0,0,,0,25.572,112367,306197.93,34.50,2500.00,#N/A
85807,11/2/26 19:40:11,0.100,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,187.016,μmol/L,23.449,°C,1011.000,hPa,Humid,0,0,,0,25.575,112373,306191.40,34.50,2500.00,#N/A
85814,11/2/26 19:40:13,0.133,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,187.084,μmol/L,23.425,°C,1011.000,hPa,Humid,0,0,,0,25.579,112388,306174.20,34.50,2500.00,#N/A
85822,11/2/26 19:40:15,0.167,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.878,μmol/L,23.449,°C,1011.000,hPa,Humid,0,0,,0,25.584,112397,306177.50,34.50,2500.00,#N/A
85830,11/2/26 19:40:17,0.200,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.943,μmol/L,23.437,°C,1011.000,hPa,Humid,0,0,,0,25.584,112413,306176.80,34.50,2500.00,#N/A
85838,11/2/26 19:40:19,0.233,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.866,μmol/L,23.437,°C,1011.000,hPa,Humid,0,0,,0,25.589,112428,306175.18,34.50,2500.00,#N/A
85846,11/2/26 19:40:21,0.266,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.917,μmol/L,23.419,°C,1011.000,hPa,Humid,0,0,,0,25.592,112438,306166.50,34.50,2500.00,#N/A
85854,11/2/26 19:40:23,0.300,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.808,μmol/L,23.425,°C,1011.000,hPa,Humid,0,0,,0,25.597,112457,306179.14,34.50,2500.00,#N/A
85862,11/2/26 19:40:25,0.333,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.791,μmol/L,23.431,°C,1011.000,hPa,Humid,0,0,,0,25.596,112479,306183.74,34.50,2500.00,#N/A
85870,11/2/26 19:40:27,0.366,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.764,μmol/L,23.419,°C,1011.000,hPa,Humid,0,0,,0,25.602,112479,306175.45,34.50,2500.00,#N/A
85878,11/2/26 19:40:29,0.400,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.748,μmol/L,23.419,°C,1011.000,hPa,Humid,0,0,,0,25.603,112510,306189.07,34.50,2500.00,#N/A
85886,11/2/26 19:40:31,0.433,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.557,μmol/L,23.449,°C,1011.000,hPa,Humid,0,0,,0,25.605,112511,306191.05,34.50,2500.00,#N/A
85894,11/2/26 19:40:33,0.467,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.623,μmol/L,23.431,°C,1011.000,hPa,Humid,0,0,,0,25.607,112533,306198.47,34.50,2500.00,#N/A
85902,11/2/26 19:40:35,0.499,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.562,μmol/L,23.431,°C,1011.000,hPa,Humid,0,0,,0,25.611,112566,306186.19,34.50,2500.00,#N/A
85910,11/2/26 19:40:37,0.533,OXY_CH5 (PSt7-10),10/2/26 18:06:53,BECORAL,186.450,μmol/L,23.449,°C,1011.000,hPa,Humid,0,0,,0,25.612,112566,306197.11,34.50,2500.00,#N/A
