#--- Experiment --------------------------------------------------------------------------
#TPC-28-Porites(2)
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA6-533-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/02/2026	10/02/2026	22.672	52.861	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.334	24.683	45.026	27.066	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (µmol/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
13-02-2026	11:38:25.798	0.701	167.063	24.639	189	-1	OK	13-02-2026	11:38:25.798	0.701	28.294	OK	13-02-2026	11:38:25.798	0.701	1010	OK
13-02-2026	11:38:26.799	1.702	167.056	24.640	189	0	OK	13-02-2026	11:38:26.799	1.702	28.292	OK	13-02-2026	11:38:26.799	1.702	1010	OK
13-02-2026	11:38:27.799	2.702	167.002	24.644	189	-1	OK	13-02-2026	11:38:27.799	2.702	28.291	OK	13-02-2026	11:38:27.799	2.702	1010	OK
13-02-2026	11:38:28.798	3.702	166.904	24.651	189	-1	OK	13-02-2026	11:38:28.798	3.702	28.290	OK	13-02-2026	11:38:28.798	3.702	1010	OK
13-02-2026	11:38:29.798	4.702	166.923	24.650	189	-1	OK	13-02-2026	11:38:29.798	4.702	28.289	OK	13-02-2026	11:38:29.798	4.702	1010	OK
13-02-2026	11:38:30.800	5.703	166.992	24.645	189	-1	OK	13-02-2026	11:38:30.800	5.703	28.290	OK	13-02-2026	11:38:30.800	5.703	1010	OK
13-02-2026	11:38:31.799	6.702	166.985	24.646	189	0	OK	13-02-2026	11:38:31.799	6.702	28.288	OK	13-02-2026	11:38:31.799	6.702	1010	OK
13-02-2026	11:38:32.804	7.707	167.110	24.638	189	0	OK	13-02-2026	11:38:32.804	7.707	28.286	OK	13-02-2026	11:38:32.804	7.707	1010	OK
13-02-2026	11:38:33.802	8.706	166.979	24.647	189	0	OK	13-02-2026	11:38:33.802	8.706	28.286	OK	13-02-2026	11:38:33.802	8.706	1010	OK
13-02-2026	11:38:34.803	9.706	167.027	24.644	189	0	OK	13-02-2026	11:38:34.803	9.706	28.285	OK	13-02-2026	11:38:34.803	9.706	1010	OK
13-02-2026	11:38:35.805	10.708	167.089	24.640	189	0	OK	13-02-2026	11:38:35.805	10.708	28.284	OK	13-02-2026	11:38:35.805	10.708	1010	OK
13-02-2026	11:38:36.805	11.708	167.075	24.641	189	0	OK	13-02-2026	11:38:36.805	11.708	28.284	OK	13-02-2026	11:38:36.805	11.708	1010	OK
13-02-2026	11:38:37.804	12.707	167.098	24.640	189	0	OK	13-02-2026	11:38:37.804	12.707	28.282	OK	13-02-2026	11:38:37.804	12.707	1010	OK
13-02-2026	11:38:38.804	13.708	167.091	24.641	189	0	OK	13-02-2026	11:38:38.804	13.708	28.280	OK	13-02-2026	11:38:38.804	13.708	1010	OK
13-02-2026	11:38:39.804	14.708	167.051	24.644	189	0	OK	13-02-2026	11:38:39.804	14.708	28.279	OK	13-02-2026	11:38:39.804	14.708	1010	OK
13-02-2026	11:38:40.804	15.708	167.183	24.635	189	-1	OK	13-02-2026	11:38:40.804	15.708	28.279	OK	13-02-2026	11:38:40.804	15.708	1010	OK
13-02-2026	11:38:41.805	16.708	167.158	24.637	189	-1	OK	13-02-2026	11:38:41.805	16.708	28.278	OK	13-02-2026	11:38:41.805	16.708	1010	OK
13-02-2026	11:38:42.804	17.707	167.158	24.637	189	-1	OK	13-02-2026	11:38:42.804	17.707	28.278	OK	13-02-2026	11:38:42.804	17.707	1010	OK
13-02-2026	11:38:43.804	18.708	167.210	24.634	189	-1	OK	13-02-2026	11:38:43.804	18.708	28.276	OK	13-02-2026	11:38:43.804	18.708	1010	OK
13-02-2026	11:38:44.805	19.708	167.122	24.640	189	0	OK	13-02-2026	11:38:44.805	19.708	28.276	OK	13-02-2026	11:38:44.805	19.708	1010	OK
13-02-2026	11:38:45.807	20.710	167.101	24.642	189	0	OK	13-02-2026	11:38:45.807	20.710	28.274	OK	13-02-2026	11:38:45.807	20.710	1010	OK
13-02-2026	11:38:46.807	21.711	167.157	24.639	189	-1	OK	13-02-2026	11:38:46.807	21.711	28.271	OK	13-02-2026	11:38:46.807	21.711	1010	OK
13-02-2026	11:38:47.807	22.710	167.113	24.642	189	0	OK	13-02-2026	11:38:47.807	22.710	28.271	OK	13-02-2026	11:38:47.807	22.710	1010	OK
13-02-2026	11:38:48.807	23.710	167.124	24.641	189	-1	OK	13-02-2026	11:38:48.807	23.710	28.272	OK	13-02-2026	11:38:48.807	23.710	1010	OK
13-02-2026	11:38:49.807	24.711	167.113	24.642	189	-1	OK	13-02-2026	11:38:49.807	24.711	28.271	OK	13-02-2026	11:38:49.807	24.711	1010	OK
13-02-2026	11:38:50.808	25.711	167.162	24.639	189	-1	OK	13-02-2026	11:38:50.808	25.711	28.270	OK	13-02-2026	11:38:50.808	25.711	1010	OK
13-02-2026	11:38:51.808	26.711	167.136	24.641	189	0	OK	13-02-2026	11:38:51.808	26.711	28.269	OK	13-02-2026	11:38:51.808	26.711	1010	OK
13-02-2026	11:38:52.809	27.712	167.235	24.634	189	-1	OK	13-02-2026	11:38:52.809	27.712	28.270	OK	13-02-2026	11:38:52.809	27.712	1010	OK
13-02-2026	11:38:53.809	28.713	167.111	24.643	189	-1	OK	13-02-2026	11:38:53.809	28.713	28.268	OK	13-02-2026	11:38:53.809	28.713	1010	OK
13-02-2026	11:38:54.811	29.714	167.199	24.637	189	0	OK	13-02-2026	11:38:54.811	29.714	28.268	OK	13-02-2026	11:38:54.811	29.714	1010	OK
13-02-2026	11:38:55.811	30.714	167.163	24.640	189	0	OK	13-02-2026	11:38:55.811	30.714	28.266	OK	13-02-2026	11:38:55.811	30.714	1010	OK
13-02-2026	11:38:56.810	31.714	167.282	24.633	189	0	OK	13-02-2026	11:38:56.810	31.714	28.262	OK	13-02-2026	11:38:56.810	31.714	1010	OK
13-02-2026	11:38:57.810	32.714	167.247	24.636	189	0	OK	13-02-2026	11:38:57.810	32.714	28.260	OK	13-02-2026	11:38:57.810	32.714	1010	OK
13-02-2026	11:38:58.810	33.714	167.188	24.640	189	-1	OK	13-02-2026	11:38:58.810	33.714	28.260	OK	13-02-2026	11:38:58.810	33.714	1010	OK
13-02-2026	11:38:59.821	34.725	167.242	24.636	189	0	OK	13-02-2026	11:38:59.821	34.725	28.261	OK	13-02-2026	11:38:59.821	34.725	1010	OK
13-02-2026	11:39:00.811	35.715	167.245	24.635	189	0	OK	13-02-2026	11:39:00.811	35.715	28.264	OK	13-02-2026	11:39:00.811	35.715	1010	OK
13-02-2026	11:39:01.813	36.716	167.245	24.635	189	0	OK	13-02-2026	11:39:01.813	36.716	28.264	OK	13-02-2026	11:39:01.813	36.716	1010	OK
13-02-2026	11:39:02.812	37.715	167.322	24.630	189	-1	OK	13-02-2026	11:39:02.812	37.715	28.263	OK	13-02-2026	11:39:02.812	37.715	1010	OK
13-02-2026	11:39:03.812	38.715	167.242	24.636	189	0	OK	13-02-2026	11:39:03.812	38.715	28.261	OK	13-02-2026	11:39:03.812	38.715	1010	OK
13-02-2026	11:39:04.812	39.716	167.249	24.635	189	0	OK	13-02-2026	11:39:04.812	39.716	28.263	OK	13-02-2026	11:39:04.812	39.716	1010	OK
13-02-2026	11:39:05.813	40.716	167.391	24.625	189	1	OK	13-02-2026	11:39:05.813	40.716	28.264	OK	13-02-2026	11:39:05.813	40.716	1010	OK
13-02-2026	11:39:06.812	41.715	167.172	24.640	189	0	OK	13-02-2026	11:39:06.812	41.715	28.264	OK	13-02-2026	11:39:06.812	41.715	1010	OK
13-02-2026	11:39:07.812	42.716	167.299	24.631	189	1	OK	13-02-2026	11:39:07.812	42.716	28.265	OK	13-02-2026	11:39:07.812	42.716	1010	OK
13-02-2026	11:39:08.813	43.716	167.145	24.641	189	1	OK	13-02-2026	11:39:08.813	43.716	28.267	OK	13-02-2026	11:39:08.813	43.716	1010	OK
13-02-2026	11:39:09.812	44.716	167.260	24.632	189	0	OK	13-02-2026	11:39:09.812	44.716	28.271	OK	13-02-2026	11:39:09.812	44.716	1010	OK
