#--- Experiment --------------------------------------------------------------------------
#TPC-34-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XA6-534-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/02/2026	10/02/2026	22.600	52.970	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.344	24.678	44.957	27.254	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
12-02-2026	18:55:21.333	0.635	125.393	26.258	199	0	OK	12-02-2026	18:55:21.333	0.635	34.292	OK	12-02-2026	18:55:21.333	0.635	1010	OK
12-02-2026	18:55:22.335	1.637	125.282	26.268	200	0	OK	12-02-2026	18:55:22.335	1.637	34.293	OK	12-02-2026	18:55:22.335	1.637	1010	OK
12-02-2026	18:55:23.335	2.637	125.450	26.253	199	0	OK	12-02-2026	18:55:23.335	2.637	34.291	OK	12-02-2026	18:55:23.335	2.637	1010	OK
12-02-2026	18:55:24.334	3.636	125.337	26.264	200	0	OK	12-02-2026	18:55:24.334	3.636	34.289	OK	12-02-2026	18:55:24.334	3.636	1010	OK
12-02-2026	18:55:25.334	4.636	125.340	26.264	199	0	OK	12-02-2026	18:55:25.334	4.636	34.288	OK	12-02-2026	18:55:25.334	4.636	1010	OK
12-02-2026	18:55:26.334	5.636	125.445	26.255	200	0	OK	12-02-2026	18:55:26.334	5.636	34.285	OK	12-02-2026	18:55:26.334	5.636	1010	OK
12-02-2026	18:55:27.335	6.637	125.340	26.265	200	0	OK	12-02-2026	18:55:27.335	6.637	34.284	OK	12-02-2026	18:55:27.335	6.637	1010	OK
12-02-2026	18:55:28.335	7.637	125.321	26.267	200	0	OK	12-02-2026	18:55:28.335	7.637	34.283	OK	12-02-2026	18:55:28.335	7.637	1010	OK
12-02-2026	18:55:29.335	8.637	125.356	26.264	200	0	OK	12-02-2026	18:55:29.335	8.637	34.282	OK	12-02-2026	18:55:29.335	8.637	1010	OK
12-02-2026	18:55:30.336	9.638	125.294	26.270	200	0	OK	12-02-2026	18:55:30.336	9.638	34.281	OK	12-02-2026	18:55:30.336	9.638	1010	OK
12-02-2026	18:55:31.336	10.638	125.321	26.268	200	0	OK	12-02-2026	18:55:31.336	10.638	34.279	OK	12-02-2026	18:55:31.336	10.638	1010	OK
12-02-2026	18:55:32.335	11.637	125.354	26.265	199	0	OK	12-02-2026	18:55:32.335	11.637	34.279	OK	12-02-2026	18:55:32.335	11.637	1010	OK
12-02-2026	18:55:33.336	12.638	125.378	26.263	200	0	OK	12-02-2026	18:55:33.336	12.638	34.278	OK	12-02-2026	18:55:33.336	12.638	1010	OK
12-02-2026	18:55:34.338	13.640	125.303	26.270	199	1	OK	12-02-2026	18:55:34.338	13.640	34.278	OK	12-02-2026	18:55:34.338	13.640	1010	OK
12-02-2026	18:55:35.338	14.640	125.359	26.265	200	1	OK	12-02-2026	18:55:35.338	14.640	34.277	OK	12-02-2026	18:55:35.338	14.640	1010	OK
12-02-2026	18:55:36.337	15.639	125.333	26.268	200	1	OK	12-02-2026	18:55:36.337	15.639	34.275	OK	12-02-2026	18:55:36.337	15.639	1010	OK
12-02-2026	18:55:37.337	16.639	125.352	26.267	200	0	OK	12-02-2026	18:55:37.337	16.639	34.272	OK	12-02-2026	18:55:37.337	16.639	1010	OK
12-02-2026	18:55:38.337	17.639	125.381	26.264	199	1	OK	12-02-2026	18:55:38.337	17.639	34.273	OK	12-02-2026	18:55:38.337	17.639	1010	OK
12-02-2026	18:55:39.341	18.643	125.282	26.274	199	0	OK	12-02-2026	18:55:39.341	18.643	34.270	OK	12-02-2026	18:55:39.341	18.643	1010	OK
12-02-2026	18:55:40.674	19.976	125.368	26.267	200	-1	OK	12-02-2026	18:55:40.674	19.976	34.266	OK	12-02-2026	18:55:40.674	19.976	1010	OK
12-02-2026	18:55:41.410	20.712	125.499	26.256	200	1	OK	12-02-2026	18:55:41.410	20.712	34.262	OK	12-02-2026	18:55:41.410	20.712	1010	OK
12-02-2026	18:55:42.398	21.700	125.415	26.264	200	0	OK	12-02-2026	18:55:42.398	21.700	34.261	OK	12-02-2026	18:55:42.398	21.700	1010	OK
12-02-2026	18:55:43.414	22.716	125.334	26.272	200	1	OK	12-02-2026	18:55:43.414	22.716	34.259	OK	12-02-2026	18:55:43.414	22.716	1010	OK
12-02-2026	18:55:44.418	23.720	125.242	26.280	200	0	OK	12-02-2026	18:55:44.418	23.720	34.261	OK	12-02-2026	18:55:44.418	23.720	1010	OK
12-02-2026	18:55:45.394	24.695	125.274	26.277	200	0	OK	12-02-2026	18:55:45.394	24.695	34.261	OK	12-02-2026	18:55:45.394	24.695	1010	OK
12-02-2026	18:55:46.396	25.698	125.350	26.270	200	0	OK	12-02-2026	18:55:46.396	25.698	34.261	OK	12-02-2026	18:55:46.396	25.698	1010	OK
12-02-2026	18:55:47.412	26.714	125.285	26.276	200	0	OK	12-02-2026	18:55:47.412	26.714	34.261	OK	12-02-2026	18:55:47.412	26.714	1010	OK
12-02-2026	18:55:48.406	27.708	125.285	26.276	200	-1	OK	12-02-2026	18:55:48.406	27.708	34.261	OK	12-02-2026	18:55:48.406	27.708	1010	OK
12-02-2026	18:55:49.397	28.699	125.215	26.282	200	0	OK	12-02-2026	18:55:49.397	28.699	34.263	OK	12-02-2026	18:55:49.397	28.699	1010	OK
12-02-2026	18:55:50.399	29.701	125.255	26.278	200	0	OK	12-02-2026	18:55:50.399	29.701	34.264	OK	12-02-2026	18:55:50.399	29.701	1010	OK
12-02-2026	18:55:51.396	30.698	125.242	26.279	200	0	OK	12-02-2026	18:55:51.396	30.698	34.265	OK	12-02-2026	18:55:51.396	30.698	1010	OK
12-02-2026	18:55:52.397	31.699	125.260	26.277	200	0	OK	12-02-2026	18:55:52.397	31.699	34.266	OK	12-02-2026	18:55:52.397	31.699	1010	OK
12-02-2026	18:55:53.399	32.701	125.150	26.287	200	0	OK	12-02-2026	18:55:53.399	32.701	34.267	OK	12-02-2026	18:55:53.399	32.701	1010	OK
12-02-2026	18:55:54.407	33.709	125.201	26.282	200	0	OK	12-02-2026	18:55:54.407	33.709	34.268	OK	12-02-2026	18:55:54.407	33.709	1010	OK
12-02-2026	18:55:55.431	34.733	125.174	26.285	200	0	OK	12-02-2026	18:55:55.431	34.733	34.266	OK	12-02-2026	18:55:55.431	34.733	1010	OK
12-02-2026	18:55:56.400	35.702	125.215	26.282	200	0	OK	12-02-2026	18:55:56.400	35.702	34.263	OK	12-02-2026	18:55:56.400	35.702	1010	OK
12-02-2026	18:55:57.403	36.705	125.182	26.285	200	0	OK	12-02-2026	18:55:57.403	36.705	34.263	OK	12-02-2026	18:55:57.403	36.705	1010	OK
12-02-2026	18:55:58.401	37.703	125.188	26.285	200	0	OK	12-02-2026	18:55:58.401	37.703	34.261	OK	12-02-2026	18:55:58.401	37.703	1010	OK
12-02-2026	18:55:59.399	38.701	125.226	26.281	200	0	OK	12-02-2026	18:55:59.399	38.701	34.263	OK	12-02-2026	18:55:59.399	38.701	1010	OK
12-02-2026	18:56:00.399	39.701	125.172	26.286	200	0	OK	12-02-2026	18:56:00.399	39.701	34.263	OK	12-02-2026	18:56:00.399	39.701	1010	OK
12-02-2026	18:56:01.416	40.718	125.161	26.287	200	0	OK	12-02-2026	18:56:01.416	40.718	34.263	OK	12-02-2026	18:56:01.416	40.718	1010	OK
12-02-2026	18:56:02.403	41.705	125.182	26.285	200	1	OK	12-02-2026	18:56:02.403	41.705	34.263	OK	12-02-2026	18:56:02.403	41.705	1010	OK
12-02-2026	18:56:03.400	42.701	125.128	26.290	200	0	OK	12-02-2026	18:56:03.400	42.701	34.263	OK	12-02-2026	18:56:03.400	42.701	1010	OK
12-02-2026	18:56:04.414	43.716	125.093	26.293	200	0	OK	12-02-2026	18:56:04.414	43.716	34.264	OK	12-02-2026	18:56:04.414	43.716	1010	OK
12-02-2026	18:56:05.401	44.703	125.118	26.291	200	0	OK	12-02-2026	18:56:05.401	44.703	34.263	OK	12-02-2026	18:56:05.401	44.703	1010	OK
12-02-2026	18:56:06.404	45.706	125.161	26.287	200	1	OK	12-02-2026	18:56:06.404	45.706	34.263	OK	12-02-2026	18:56:06.404	45.706	1010	OK
12-02-2026	18:56:07.404	46.706	125.069	26.296	200	1	OK	12-02-2026	18:56:07.404	46.706	34.261	OK	12-02-2026	18:56:07.404	46.706	1010	OK
12-02-2026	18:56:08.419	47.720	125.129	26.291	200	0	OK	12-02-2026	18:56:08.419	47.720	34.259	OK	12-02-2026	18:56:08.419	47.720	1010	OK
12-02-2026	18:56:09.409	48.711	125.148	26.290	200	-1	OK	12-02-2026	18:56:09.409	48.711	34.256	OK	12-02-2026	18:56:09.409	48.711	1010	OK
12-02-2026	18:56:10.406	49.708	125.089	26.296	200	0	OK	12-02-2026	18:56:10.406	49.708	34.254	OK	12-02-2026	18:56:10.406	49.708	1010	OK
12-02-2026	18:56:11.604	50.906	125.105	26.295	200	0	OK	12-02-2026	18:56:11.604	50.906	34.252	OK	12-02-2026	18:56:11.604	50.906	1010	OK
12-02-2026	18:56:12.407	51.709	125.140	26.292	200	-1	OK	12-02-2026	18:56:12.407	51.709	34.251	OK	12-02-2026	18:56:12.407	51.709	1010	OK
12-02-2026	18:56:13.421	52.723	125.078	26.298	200	0	OK	12-02-2026	18:56:13.421	52.723	34.250	OK	12-02-2026	18:56:13.421	52.723	1010	OK
12-02-2026	18:56:14.413	53.715	125.027	26.303	200	0	OK	12-02-2026	18:56:14.413	53.715	34.249	OK	12-02-2026	18:56:14.413	53.715	1010	OK
12-02-2026	18:56:15.415	54.717	125.103	26.297	200	1	OK	12-02-2026	18:56:15.415	54.717	34.245	OK	12-02-2026	18:56:15.415	54.717	1010	OK
12-02-2026	18:56:16.409	55.711	125.101	26.298	200	0	OK	12-02-2026	18:56:16.409	55.711	34.242	OK	12-02-2026	18:56:16.409	55.711	1010	OK
12-02-2026	18:56:17.413	56.715	125.152	26.294	200	0	OK	12-02-2026	18:56:17.413	56.715	34.239	OK	12-02-2026	18:56:17.413	56.715	1010	OK
12-02-2026	18:56:18.427	57.729	125.152	26.295	200	0	OK	12-02-2026	18:56:18.427	57.729	34.235	OK	12-02-2026	18:56:18.427	57.729	1010	OK
12-02-2026	18:56:19.447	58.749	125.061	26.304	200	1	OK	12-02-2026	18:56:19.447	58.749	34.233	OK	12-02-2026	18:56:19.447	58.749	1010	OK
12-02-2026	18:56:20.410	59.712	125.185	26.293	200	0	OK	12-02-2026	18:56:20.410	59.712	34.231	OK	12-02-2026	18:56:20.410	59.712	1010	OK
12-02-2026	18:56:21.415	60.717	125.150	26.297	200	1	OK	12-02-2026	18:56:21.415	60.717	34.228	OK	12-02-2026	18:56:21.415	60.717	1010	OK
12-02-2026	18:56:22.415	61.717	125.164	26.296	200	1	OK	12-02-2026	18:56:22.415	61.717	34.227	OK	12-02-2026	18:56:22.415	61.717	1010	OK
12-02-2026	18:56:23.415	62.717	125.148	26.298	200	0	OK	12-02-2026	18:56:23.415	62.717	34.225	OK	12-02-2026	18:56:23.415	62.717	1010	OK
12-02-2026	18:56:24.410	63.712	125.124	26.300	200	0	OK	12-02-2026	18:56:24.410	63.712	34.226	OK	12-02-2026	18:56:24.410	63.712	1010	OK
12-02-2026	18:56:25.414	64.716	125.070	26.305	200	0	OK	12-02-2026	18:56:25.414	64.716	34.226	OK	12-02-2026	18:56:25.414	64.716	1010	OK
12-02-2026	18:56:26.410	65.711	125.110	26.302	200	0	OK	12-02-2026	18:56:26.410	65.711	34.223	OK	12-02-2026	18:56:26.410	65.711	1010	OK
12-02-2026	18:56:27.413	66.715	125.078	26.305	200	1	OK	12-02-2026	18:56:27.413	66.715	34.223	OK	12-02-2026	18:56:27.413	66.715	1010	OK
12-02-2026	18:56:28.411	67.713	125.086	26.305	200	0	OK	12-02-2026	18:56:28.411	67.713	34.220	OK	12-02-2026	18:56:28.411	67.713	1010	OK
12-02-2026	18:56:29.413	68.715	125.068	26.307	200	0	OK	12-02-2026	18:56:29.413	68.715	34.219	OK	12-02-2026	18:56:29.413	68.715	1010	OK
12-02-2026	18:56:30.412	69.714	125.073	26.307	200	0	OK	12-02-2026	18:56:30.412	69.714	34.217	OK	12-02-2026	18:56:30.412	69.714	1010	OK
12-02-2026	18:56:31.414	70.716	124.944	26.319	200	0	OK	12-02-2026	18:56:31.414	70.716	34.217	OK	12-02-2026	18:56:31.414	70.716	1010	OK
12-02-2026	18:56:32.414	71.716	125.062	26.308	200	0	OK	12-02-2026	18:56:32.414	71.716	34.217	OK	12-02-2026	18:56:32.414	71.716	1010	OK
12-02-2026	18:56:33.416	72.718	125.095	26.305	200	0	OK	12-02-2026	18:56:33.416	72.718	34.217	OK	12-02-2026	18:56:33.416	72.718	1010	OK
12-02-2026	18:56:34.414	73.716	125.025	26.312	200	1	OK	12-02-2026	18:56:34.414	73.716	34.215	OK	12-02-2026	18:56:34.414	73.716	1010	OK
12-02-2026	18:56:35.424	74.726	125.020	26.313	200	0	OK	12-02-2026	18:56:35.424	74.726	34.213	OK	12-02-2026	18:56:35.424	74.726	1010	OK
12-02-2026	18:56:36.414	75.715	124.893	26.325	200	0	OK	12-02-2026	18:56:36.414	75.715	34.212	OK	12-02-2026	18:56:36.414	75.715	1010	OK
12-02-2026	18:56:37.420	76.722	124.966	26.318	200	0	OK	12-02-2026	18:56:37.420	76.722	34.213	OK	12-02-2026	18:56:37.420	76.722	1010	OK
12-02-2026	18:56:38.414	77.716	124.982	26.316	200	0	OK	12-02-2026	18:56:38.414	77.716	34.215	OK	12-02-2026	18:56:38.414	77.716	1010	OK
12-02-2026	18:56:39.414	78.716	124.939	26.320	200	-1	OK	12-02-2026	18:56:39.414	78.716	34.215	OK	12-02-2026	18:56:39.414	78.716	1010	OK
12-02-2026	18:56:40.416	79.718	124.957	26.318	200	0	OK	12-02-2026	18:56:40.416	79.718	34.216	OK	12-02-2026	18:56:40.416	79.718	1010	OK
12-02-2026	18:56:41.415	80.717	124.952	26.318	200	-1	OK	12-02-2026	18:56:41.415	80.717	34.218	OK	12-02-2026	18:56:41.415	80.717	1010	OK
12-02-2026	18:56:42.417	81.719	124.968	26.317	200	0	OK	12-02-2026	18:56:42.417	81.719	34.216	OK	12-02-2026	18:56:42.417	81.719	1010	OK
12-02-2026	18:56:43.416	82.718	125.014	26.313	200	0	OK	12-02-2026	18:56:43.416	82.718	34.215	OK	12-02-2026	18:56:43.416	82.718	1010	OK
12-02-2026	18:56:44.413	83.714	125.001	26.315	200	-1	OK	12-02-2026	18:56:44.413	83.714	34.212	OK	12-02-2026	18:56:44.413	83.714	1010	OK
12-02-2026	18:56:45.413	84.715	125.017	26.314	200	-1	OK	12-02-2026	18:56:45.413	84.715	34.210	OK	12-02-2026	18:56:45.413	84.715	1010	OK
12-02-2026	18:56:46.412	85.714	125.052	26.311	200	0	OK	12-02-2026	18:56:46.412	85.714	34.209	OK	12-02-2026	18:56:46.412	85.714	1010	OK
12-02-2026	18:56:47.416	86.717	124.929	26.323	200	0	OK	12-02-2026	18:56:47.416	86.717	34.207	OK	12-02-2026	18:56:47.416	86.717	1010	OK
12-02-2026	18:56:48.417	87.719	124.966	26.319	200	0	OK	12-02-2026	18:56:48.417	87.719	34.209	OK	12-02-2026	18:56:48.417	87.719	1010	OK
12-02-2026	18:56:49.416	88.718	125.015	26.315	200	-1	OK	12-02-2026	18:56:49.416	88.718	34.207	OK	12-02-2026	18:56:49.416	88.718	1010	OK
12-02-2026	18:56:50.415	89.717	124.915	26.324	200	0	OK	12-02-2026	18:56:50.415	89.717	34.208	OK	12-02-2026	18:56:50.415	89.717	1010	OK
12-02-2026	18:56:51.415	90.717	124.996	26.316	200	0	OK	12-02-2026	18:56:51.415	90.717	34.210	OK	12-02-2026	18:56:51.415	90.717	1010	OK
12-02-2026	18:56:52.420	91.722	124.963	26.319	200	0	OK	12-02-2026	18:56:52.420	91.722	34.210	OK	12-02-2026	18:56:52.420	91.722	1010	OK
12-02-2026	18:56:53.417	92.719	124.958	26.320	200	0	OK	12-02-2026	18:56:53.417	92.719	34.208	OK	12-02-2026	18:56:53.417	92.719	1010	OK
12-02-2026	18:56:54.429	93.731	124.937	26.323	200	1	OK	12-02-2026	18:56:54.429	93.731	34.204	OK	12-02-2026	18:56:54.429	93.731	1010	OK
12-02-2026	18:56:55.425	94.727	124.956	26.321	200	0	OK	12-02-2026	18:56:55.425	94.727	34.205	OK	12-02-2026	18:56:55.425	94.727	1010	OK
12-02-2026	18:56:56.421	95.723	124.929	26.323	200	-1	OK	12-02-2026	18:56:56.421	95.723	34.207	OK	12-02-2026	18:56:56.421	95.723	1010	OK
