#--- Experiment --------------------------------------------------------------------------
#TPC(2)-26-Porites(2)
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_B [B] FSO2-C4 SN:22160068 UiD:2411E508596FD584 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.3] - Oxygen Sensor - XA7-533-212 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.422	53.148	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1012.056	24.063	49.404	24.219	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.3 Main]	Time [B Ch.3 Main]	 dt (s) [B Ch.3 Main]	Oxygen (µmol/L) [B Ch.3 Main]	dphi (°) [B Ch.3 Main]	Signal Intensity (mV) [B Ch.3 Main]	Ambient Light (mV) [B Ch.3 Main]	Status [B Ch.3 Main]	Date [B Ch.3 CompT]	Time [B Ch.3 CompT]	 dt (s) [B Ch.3 CompT]	Sample Temp. (°C) [B Ch.3 CompT]	Status [B Ch.3 CompT]	Date [B Ch.3 CompP]	Time [B Ch.3 CompP]	 dt (s) [B Ch.3 CompP]	Pressure (mbar) [B Ch.3 CompP]	Status [B Ch.3 CompP]
17-02-2026	09:11:26.533	0.214	150.621	26.034	501	1	OK	17-02-2026	09:11:26.533	0.214	26.503	OK	17-02-2026	09:11:26.533	0.214	1013	OK
17-02-2026	09:11:27.526	1.207	150.734	26.025	501	0	OK	17-02-2026	09:11:27.526	1.207	26.504	OK	17-02-2026	09:11:27.526	1.207	1013	OK
17-02-2026	09:11:28.527	2.208	150.729	26.026	501	0	OK	17-02-2026	09:11:28.527	2.208	26.502	OK	17-02-2026	09:11:28.527	2.208	1013	OK
17-02-2026	09:11:29.527	3.208	150.727	26.027	501	0	OK	17-02-2026	09:11:29.527	3.208	26.499	OK	17-02-2026	09:11:29.527	3.208	1013	OK
17-02-2026	09:11:30.526	4.207	150.749	26.025	501	0	OK	17-02-2026	09:11:30.526	4.207	26.500	OK	17-02-2026	09:11:30.526	4.207	1013	OK
17-02-2026	09:11:31.526	5.207	150.629	26.034	501	0	OK	17-02-2026	09:11:31.526	5.207	26.501	OK	17-02-2026	09:11:31.526	5.207	1013	OK
17-02-2026	09:11:32.527	6.208	150.616	26.035	501	0	OK	17-02-2026	09:11:32.527	6.208	26.501	OK	17-02-2026	09:11:32.527	6.208	1013	OK
17-02-2026	09:11:33.533	7.213	150.733	26.026	501	0	OK	17-02-2026	09:11:33.533	7.213	26.501	OK	17-02-2026	09:11:33.533	7.213	1013	OK
17-02-2026	09:11:34.529	8.210	150.788	26.022	501	1	OK	17-02-2026	09:11:34.529	8.210	26.500	OK	17-02-2026	09:11:34.529	8.210	1013	OK
17-02-2026	09:11:35.529	9.209	150.655	26.032	501	1	OK	17-02-2026	09:11:35.529	9.209	26.501	OK	17-02-2026	09:11:35.529	9.209	1013	OK
17-02-2026	09:11:36.530	10.211	150.777	26.022	501	1	OK	17-02-2026	09:11:36.530	10.211	26.503	OK	17-02-2026	09:11:36.530	10.211	1013	OK
17-02-2026	09:11:37.540	11.221	150.720	26.027	501	0	OK	17-02-2026	09:11:37.540	11.221	26.501	OK	17-02-2026	09:11:37.540	11.221	1013	OK
17-02-2026	09:11:38.532	12.212	150.701	26.029	501	0	OK	17-02-2026	09:11:38.532	12.212	26.499	OK	17-02-2026	09:11:38.532	12.212	1013	OK
17-02-2026	09:11:39.530	13.211	150.740	26.026	501	0	OK	17-02-2026	09:11:39.530	13.211	26.499	OK	17-02-2026	09:11:39.530	13.211	1013	OK
17-02-2026	09:11:40.532	14.213	150.705	26.029	501	0	OK	17-02-2026	09:11:40.532	14.213	26.498	OK	17-02-2026	09:11:40.532	14.213	1013	OK
