#--- Experiment --------------------------------------------------------------------------
#TPC(2)-28-Porites(2)
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_B [B] FSO2-C4 SN:22160068 UiD:2411E508596FD584 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.4] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.654	53.032	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1012.073	24.085	49.978	24.192	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.4 Main]	Time [B Ch.4 Main]	 dt (s) [B Ch.4 Main]	Oxygen (µmol/L) [B Ch.4 Main]	dphi (°) [B Ch.4 Main]	Signal Intensity (mV) [B Ch.4 Main]	Ambient Light (mV) [B Ch.4 Main]	Status [B Ch.4 Main]	Date [B Ch.4 CompT]	Time [B Ch.4 CompT]	 dt (s) [B Ch.4 CompT]	Sample Temp. (°C) [B Ch.4 CompT]	Status [B Ch.4 CompT]	Date [B Ch.4 CompP]	Time [B Ch.4 CompP]	 dt (s) [B Ch.4 CompP]	Pressure (mbar) [B Ch.4 CompP]	Status [B Ch.4 CompP]
17-02-2026	10:05:58.257	0.868	155.432	25.356	314	0	OK	17-02-2026	10:05:58.257	0.868	28.405	OK	17-02-2026	10:05:58.257	0.868	1012	OK
17-02-2026	10:05:59.257	1.868	155.580	25.345	314	0	OK	17-02-2026	10:05:59.257	1.868	28.405	OK	17-02-2026	10:05:59.257	1.868	1012	OK
17-02-2026	10:06:00.257	2.868	155.496	25.351	314	0	OK	17-02-2026	10:06:00.257	2.868	28.406	OK	17-02-2026	10:06:00.257	2.868	1012	OK
17-02-2026	10:06:01.257	3.868	155.442	25.355	314	0	OK	17-02-2026	10:06:01.257	3.868	28.406	OK	17-02-2026	10:06:01.257	3.868	1012	OK
17-02-2026	10:06:02.259	4.870	155.469	25.353	314	0	OK	17-02-2026	10:06:02.259	4.870	28.406	OK	17-02-2026	10:06:02.259	4.870	1012	OK
17-02-2026	10:06:03.259	5.870	155.540	25.348	314	0	OK	17-02-2026	10:06:03.259	5.870	28.405	OK	17-02-2026	10:06:03.259	5.870	1012	OK
17-02-2026	10:06:04.258	6.869	155.546	25.347	314	0	OK	17-02-2026	10:06:04.258	6.869	28.407	OK	17-02-2026	10:06:04.258	6.869	1012	OK
17-02-2026	10:06:05.257	7.868	155.673	25.337	314	0	OK	17-02-2026	10:06:05.257	7.868	28.409	OK	17-02-2026	10:06:05.257	7.868	1012	OK
17-02-2026	10:06:06.258	8.869	155.621	25.340	314	0	OK	17-02-2026	10:06:06.258	8.869	28.412	OK	17-02-2026	10:06:06.258	8.869	1012	OK
17-02-2026	10:06:07.257	9.868	155.610	25.340	314	0	OK	17-02-2026	10:06:07.257	9.868	28.415	OK	17-02-2026	10:06:07.257	9.868	1012	OK
17-02-2026	10:06:08.259	10.870	155.750	25.329	314	0	OK	17-02-2026	10:06:08.259	10.870	28.417	OK	17-02-2026	10:06:08.259	10.870	1012	OK
17-02-2026	10:06:09.258	11.869	155.822	25.324	314	0	OK	17-02-2026	10:06:09.258	11.869	28.416	OK	17-02-2026	10:06:09.258	11.869	1012	OK
17-02-2026	10:06:10.260	12.870	155.882	25.319	314	0	OK	17-02-2026	10:06:10.260	12.870	28.418	OK	17-02-2026	10:06:10.260	12.870	1012	OK
17-02-2026	10:06:11.259	13.870	155.878	25.319	314	0	OK	17-02-2026	10:06:11.259	13.870	28.419	OK	17-02-2026	10:06:11.259	13.870	1012	OK
17-02-2026	10:06:12.260	14.871	155.878	25.319	314	0	OK	17-02-2026	10:06:12.260	14.871	28.419	OK	17-02-2026	10:06:12.260	14.871	1012	OK
17-02-2026	10:06:13.259	15.870	155.986	25.311	314	0	OK	17-02-2026	10:06:13.259	15.870	28.419	OK	17-02-2026	10:06:13.259	15.870	1012	OK
17-02-2026	10:06:14.260	16.871	155.976	25.312	314	0	OK	17-02-2026	10:06:14.260	16.871	28.418	OK	17-02-2026	10:06:14.260	16.871	1012	OK
17-02-2026	10:06:15.261	17.872	155.949	25.314	314	0	OK	17-02-2026	10:06:15.261	17.872	28.418	OK	17-02-2026	10:06:15.261	17.872	1012	OK
17-02-2026	10:06:16.261	18.872	155.839	25.323	314	0	OK	17-02-2026	10:06:16.261	18.872	28.415	OK	17-02-2026	10:06:16.261	18.872	1012	OK
17-02-2026	10:06:17.263	19.873	155.901	25.319	314	0	OK	17-02-2026	10:06:17.263	19.873	28.413	OK	17-02-2026	10:06:17.263	19.873	1012	OK
17-02-2026	10:06:18.265	20.876	155.943	25.317	314	0	OK	17-02-2026	10:06:18.265	20.876	28.409	OK	17-02-2026	10:06:18.265	20.876	1012	OK
17-02-2026	10:06:19.264	21.875	155.982	25.315	314	0	OK	17-02-2026	10:06:19.264	21.875	28.406	OK	17-02-2026	10:06:19.264	21.875	1012	OK
17-02-2026	10:06:20.264	22.874	155.845	25.326	314	0	OK	17-02-2026	10:06:20.264	22.874	28.403	OK	17-02-2026	10:06:20.264	22.874	1012	OK
17-02-2026	10:06:21.266	23.877	155.951	25.319	314	0	OK	17-02-2026	10:06:21.266	23.877	28.400	OK	17-02-2026	10:06:21.266	23.877	1012	OK
17-02-2026	10:06:22.267	24.877	156.003	25.316	314	0	OK	17-02-2026	10:06:22.267	24.877	28.397	OK	17-02-2026	10:06:22.267	24.877	1012	OK
17-02-2026	10:06:23.267	25.878	156.041	25.314	314	0	OK	17-02-2026	10:06:23.267	25.878	28.394	OK	17-02-2026	10:06:23.267	25.878	1012	OK
17-02-2026	10:06:24.267	26.878	156.082	25.311	314	0	OK	17-02-2026	10:06:24.267	26.878	28.394	OK	17-02-2026	10:06:24.267	26.878	1012	OK
17-02-2026	10:06:25.268	27.879	156.200	25.302	313	0	OK	17-02-2026	10:06:25.268	27.879	28.395	OK	17-02-2026	10:06:25.268	27.879	1012	OK
17-02-2026	10:06:26.269	28.880	156.038	25.314	313	0	OK	17-02-2026	10:06:26.269	28.880	28.395	OK	17-02-2026	10:06:26.269	28.880	1012	OK
