#--- Experiment --------------------------------------------------------------------------
#TPC-34-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_B [B] FSO2-C4 SN:22160068 UiD:2411E508596FD584 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.2] - Oxygen Sensor - XA7-532-209 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/02/2026	10/02/2026	22.674	53.000	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1011.313	25.249	47.581	26.785	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.2 Main]	Time [B Ch.2 Main]	 dt (s) [B Ch.2 Main]	Oxygen (µmol/L) [B Ch.2 Main]	dphi (°) [B Ch.2 Main]	Signal Intensity (mV) [B Ch.2 Main]	Ambient Light (mV) [B Ch.2 Main]	Status [B Ch.2 Main]	Date [B Ch.2 CompT]	Time [B Ch.2 CompT]	 dt (s) [B Ch.2 CompT]	Sample Temp. (°C) [B Ch.2 CompT]	Status [B Ch.2 CompT]	Date [B Ch.2 CompP]	Time [B Ch.2 CompP]	 dt (s) [B Ch.2 CompP]	Pressure (mbar) [B Ch.2 CompP]	Status [B Ch.2 CompP]
12-02-2026	18:55:21.654	0.956	115.263	27.359	515	-1	OK	12-02-2026	18:55:21.654	0.956	34.389	OK	12-02-2026	18:55:21.654	0.956	1011	OK
12-02-2026	18:55:22.654	1.956	115.287	27.356	515	-1	OK	12-02-2026	18:55:22.654	1.956	34.391	OK	12-02-2026	18:55:22.654	1.956	1011	OK
12-02-2026	18:55:23.655	2.957	115.189	27.366	515	-1	OK	12-02-2026	18:55:23.655	2.957	34.391	OK	12-02-2026	18:55:23.655	2.957	1011	OK
12-02-2026	18:55:24.655	3.957	115.231	27.362	515	0	OK	12-02-2026	18:55:24.655	3.957	34.390	OK	12-02-2026	18:55:24.655	3.957	1011	OK
12-02-2026	18:55:25.656	4.958	115.256	27.360	515	-1	OK	12-02-2026	18:55:25.656	4.958	34.388	OK	12-02-2026	18:55:25.656	4.958	1011	OK
12-02-2026	18:55:26.657	5.959	115.224	27.364	515	0	OK	12-02-2026	18:55:26.657	5.959	34.385	OK	12-02-2026	18:55:26.657	5.959	1011	OK
12-02-2026	18:55:27.657	6.959	115.214	27.365	515	0	OK	12-02-2026	18:55:27.657	6.959	34.385	OK	12-02-2026	18:55:27.657	6.959	1011	OK
12-02-2026	18:55:28.656	7.958	115.231	27.363	515	0	OK	12-02-2026	18:55:28.656	7.958	34.386	OK	12-02-2026	18:55:28.656	7.958	1011	OK
12-02-2026	18:55:29.657	8.958	115.199	27.366	515	1	OK	12-02-2026	18:55:29.657	8.958	34.387	OK	12-02-2026	18:55:29.657	8.958	1011	OK
12-02-2026	18:55:30.658	9.960	115.159	27.370	515	0	OK	12-02-2026	18:55:30.658	9.960	34.387	OK	12-02-2026	18:55:30.658	9.960	1011	OK
12-02-2026	18:55:31.658	10.960	115.177	27.368	515	0	OK	12-02-2026	18:55:31.658	10.960	34.388	OK	12-02-2026	18:55:31.658	10.960	1011	OK
12-02-2026	18:55:32.657	11.959	115.164	27.369	515	0	OK	12-02-2026	18:55:32.657	11.959	34.389	OK	12-02-2026	18:55:32.657	11.959	1011	OK
12-02-2026	18:55:33.658	12.960	115.159	27.370	515	0	OK	12-02-2026	18:55:33.658	12.960	34.387	OK	12-02-2026	18:55:33.658	12.960	1011	OK
12-02-2026	18:55:34.659	13.960	115.150	27.372	515	0	OK	12-02-2026	18:55:34.659	13.960	34.383	OK	12-02-2026	18:55:34.659	13.960	1011	OK
12-02-2026	18:55:35.658	14.960	115.207	27.367	515	0	OK	12-02-2026	18:55:35.658	14.960	34.380	OK	12-02-2026	18:55:35.658	14.960	1011	OK
12-02-2026	18:55:36.659	15.961	115.111	27.377	515	-1	OK	12-02-2026	18:55:36.659	15.961	34.379	OK	12-02-2026	18:55:36.659	15.961	1011	OK
12-02-2026	18:55:37.660	16.962	115.143	27.374	515	-1	OK	12-02-2026	18:55:37.660	16.962	34.378	OK	12-02-2026	18:55:37.660	16.962	1011	OK
12-02-2026	18:55:38.660	17.962	115.096	27.379	515	-1	OK	12-02-2026	18:55:38.660	17.962	34.377	OK	12-02-2026	18:55:38.660	17.962	1011	OK
12-02-2026	18:55:39.662	18.964	115.158	27.373	515	-1	OK	12-02-2026	18:55:39.662	18.964	34.376	OK	12-02-2026	18:55:39.662	18.964	1011	OK
12-02-2026	18:55:40.664	19.966	115.146	27.375	515	0	OK	12-02-2026	18:55:40.664	19.966	34.373	OK	12-02-2026	18:55:40.664	19.966	1011	OK
12-02-2026	18:55:41.778	21.080	115.141	27.375	515	0	OK	12-02-2026	18:55:41.778	21.080	34.375	OK	12-02-2026	18:55:41.778	21.080	1011	OK
12-02-2026	18:55:42.664	21.966	115.074	27.382	515	0	OK	12-02-2026	18:55:42.664	21.966	34.374	OK	12-02-2026	18:55:42.664	21.966	1011	OK
12-02-2026	18:55:43.666	22.968	115.104	27.379	515	1	OK	12-02-2026	18:55:43.666	22.968	34.374	OK	12-02-2026	18:55:43.666	22.968	1011	OK
12-02-2026	18:55:44.702	24.003	115.171	27.373	515	-1	OK	12-02-2026	18:55:44.702	24.003	34.371	OK	12-02-2026	18:55:44.702	24.003	1011	OK
12-02-2026	18:55:45.667	24.969	115.075	27.383	515	1	OK	12-02-2026	18:55:45.667	24.969	34.370	OK	12-02-2026	18:55:45.667	24.969	1011	OK
12-02-2026	18:55:46.667	25.969	115.100	27.381	515	0	OK	12-02-2026	18:55:46.667	25.969	34.368	OK	12-02-2026	18:55:46.667	25.969	1011	OK
12-02-2026	18:55:47.668	26.970	115.100	27.381	515	0	OK	12-02-2026	18:55:47.668	26.970	34.368	OK	12-02-2026	18:55:47.668	26.970	1011	OK
12-02-2026	18:55:48.670	27.971	115.132	27.378	515	-1	OK	12-02-2026	18:55:48.670	27.971	34.367	OK	12-02-2026	18:55:48.670	27.971	1011	OK
12-02-2026	18:55:49.668	28.970	115.073	27.384	515	0	OK	12-02-2026	18:55:49.668	28.970	34.367	OK	12-02-2026	18:55:49.668	28.970	1011	OK
12-02-2026	18:55:50.667	29.969	115.068	27.385	515	0	OK	12-02-2026	18:55:50.667	29.969	34.365	OK	12-02-2026	18:55:50.667	29.969	1011	OK
12-02-2026	18:55:51.668	30.970	115.124	27.379	515	-1	OK	12-02-2026	18:55:51.668	30.970	34.366	OK	12-02-2026	18:55:51.668	30.970	1011	OK
12-02-2026	18:55:52.668	31.970	115.053	27.386	515	-1	OK	12-02-2026	18:55:52.668	31.970	34.367	OK	12-02-2026	18:55:52.668	31.970	1011	OK
12-02-2026	18:55:53.668	32.970	115.062	27.384	515	-1	OK	12-02-2026	18:55:53.668	32.970	34.371	OK	12-02-2026	18:55:53.668	32.970	1011	OK
12-02-2026	18:55:54.667	33.969	115.048	27.386	515	-1	OK	12-02-2026	18:55:54.667	33.969	34.369	OK	12-02-2026	18:55:54.667	33.969	1011	OK
12-02-2026	18:55:55.669	34.971	115.023	27.388	515	0	OK	12-02-2026	18:55:55.669	34.971	34.371	OK	12-02-2026	18:55:55.669	34.971	1011	OK
12-02-2026	18:55:56.670	35.972	114.983	27.392	515	0	OK	12-02-2026	18:55:56.670	35.972	34.371	OK	12-02-2026	18:55:56.670	35.972	1011	OK
12-02-2026	18:55:57.676	36.978	114.971	27.392	515	0	OK	12-02-2026	18:55:57.676	36.978	34.376	OK	12-02-2026	18:55:57.676	36.978	1011	OK
12-02-2026	18:55:58.671	37.973	114.919	27.396	515	0	OK	12-02-2026	18:55:58.671	37.973	34.381	OK	12-02-2026	18:55:58.671	37.973	1011	OK
12-02-2026	18:55:59.672	38.973	114.940	27.392	515	0	OK	12-02-2026	18:55:59.672	38.973	34.388	OK	12-02-2026	18:55:59.672	38.973	1011	OK
12-02-2026	18:56:00.672	39.974	114.920	27.393	515	0	OK	12-02-2026	18:56:00.672	39.974	34.392	OK	12-02-2026	18:56:00.672	39.974	1011	OK
12-02-2026	18:56:01.673	40.975	114.870	27.396	515	0	OK	12-02-2026	18:56:01.673	40.975	34.400	OK	12-02-2026	18:56:01.673	40.975	1011	OK
12-02-2026	18:56:02.674	41.975	114.892	27.392	515	0	OK	12-02-2026	18:56:02.674	41.975	34.407	OK	12-02-2026	18:56:02.674	41.975	1011	OK
12-02-2026	18:56:03.674	42.976	114.859	27.393	515	0	OK	12-02-2026	18:56:03.674	42.976	34.416	OK	12-02-2026	18:56:03.674	42.976	1011	OK
