#--- Experiment --------------------------------------------------------------------------
#TPC-34-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_B [B] FSO2-C4 SN:22160068 UiD:2411E508596FD584 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.3] - Oxygen Sensor - XA7-533-212 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/02/2026	10/02/2026	22.610	53.286	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1011.233	25.249	47.569	26.917	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.3 Main]	Time [B Ch.3 Main]	 dt (s) [B Ch.3 Main]	Oxygen (µmol/L) [B Ch.3 Main]	dphi (°) [B Ch.3 Main]	Signal Intensity (mV) [B Ch.3 Main]	Ambient Light (mV) [B Ch.3 Main]	Status [B Ch.3 Main]	Date [B Ch.3 CompT]	Time [B Ch.3 CompT]	 dt (s) [B Ch.3 CompT]	Sample Temp. (°C) [B Ch.3 CompT]	Status [B Ch.3 CompT]	Date [B Ch.3 CompP]	Time [B Ch.3 CompP]	 dt (s) [B Ch.3 CompP]	Pressure (mbar) [B Ch.3 CompP]	Status [B Ch.3 CompP]
12-02-2026	18:55:20.875	0.177	121.731	26.673	505	0	OK	12-02-2026	18:55:20.875	0.177	34.390	OK	12-02-2026	18:55:20.875	0.177	1011	OK
12-02-2026	18:55:21.864	1.165	121.731	26.673	505	1	OK	12-02-2026	18:55:21.864	1.165	34.390	OK	12-02-2026	18:55:21.864	1.165	1011	OK
12-02-2026	18:55:22.862	2.164	121.755	26.671	505	1	OK	12-02-2026	18:55:22.862	2.164	34.389	OK	12-02-2026	18:55:22.862	2.164	1011	OK
12-02-2026	18:55:23.866	3.168	121.632	26.682	505	0	OK	12-02-2026	18:55:23.866	3.168	34.392	OK	12-02-2026	18:55:23.866	3.168	1011	OK
12-02-2026	18:55:24.863	4.165	121.627	26.683	505	0	OK	12-02-2026	18:55:24.863	4.165	34.390	OK	12-02-2026	18:55:24.863	4.165	1011	OK
12-02-2026	18:55:25.864	5.165	121.659	26.681	505	0	OK	12-02-2026	18:55:25.864	5.165	34.386	OK	12-02-2026	18:55:25.864	5.165	1011	OK
12-02-2026	18:55:26.862	6.164	121.693	26.678	506	0	OK	12-02-2026	18:55:26.862	6.164	34.385	OK	12-02-2026	18:55:26.862	6.164	1011	OK
12-02-2026	18:55:27.862	7.164	121.649	26.682	505	0	OK	12-02-2026	18:55:27.862	7.164	34.386	OK	12-02-2026	18:55:27.862	7.164	1011	OK
12-02-2026	18:55:28.862	8.164	121.594	26.687	505	0	OK	12-02-2026	18:55:28.862	8.164	34.387	OK	12-02-2026	18:55:28.862	8.164	1011	OK
12-02-2026	18:55:29.862	9.164	121.604	26.686	506	0	OK	12-02-2026	18:55:29.862	9.164	34.387	OK	12-02-2026	18:55:29.862	9.164	1011	OK
12-02-2026	18:55:30.862	10.164	121.612	26.685	505	0	OK	12-02-2026	18:55:30.862	10.164	34.388	OK	12-02-2026	18:55:30.862	10.164	1011	OK
12-02-2026	18:55:31.862	11.164	121.487	26.697	505	0	OK	12-02-2026	18:55:31.862	11.164	34.388	OK	12-02-2026	18:55:31.862	11.164	1011	OK
12-02-2026	18:55:32.862	12.164	121.474	26.698	506	0	OK	12-02-2026	18:55:32.862	12.164	34.389	OK	12-02-2026	18:55:32.862	12.164	1011	OK
12-02-2026	18:55:33.863	13.164	121.524	26.694	506	0	OK	12-02-2026	18:55:33.863	13.164	34.386	OK	12-02-2026	18:55:33.863	13.164	1011	OK
12-02-2026	18:55:34.864	14.166	121.472	26.700	506	0	OK	12-02-2026	18:55:34.864	14.166	34.382	OK	12-02-2026	18:55:34.864	14.166	1011	OK
