#--- Experiment --------------------------------------------------------------------------
#TPC(2)-22-Porites(2)
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_B [B] FSO2-C4 SN:22160068 UiD:2411E508596FD584 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.1] - Oxygen Sensor - XA7-531-209 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.562	53.143	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1012.042	24.100	50.714	24.277	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.1 Main]	Time [B Ch.1 Main]	 dt (s) [B Ch.1 Main]	Oxygen (µmol/L) [B Ch.1 Main]	dphi (°) [B Ch.1 Main]	Signal Intensity (mV) [B Ch.1 Main]	Ambient Light (mV) [B Ch.1 Main]	Status [B Ch.1 Main]	Date [B Ch.1 CompT]	Time [B Ch.1 CompT]	 dt (s) [B Ch.1 CompT]	Sample Temp. (°C) [B Ch.1 CompT]	Status [B Ch.1 CompT]	Date [B Ch.1 CompP]	Time [B Ch.1 CompP]	 dt (s) [B Ch.1 CompP]	Pressure (mbar) [B Ch.1 CompP]	Status [B Ch.1 CompP]
17-02-2026	07:16:46.654	0.771	161.292	26.556	403	0	OK	17-02-2026	07:16:46.654	0.771	23.096	OK	17-02-2026	07:16:46.654	0.771	1012	OK
17-02-2026	07:16:47.650	1.767	161.341	26.552	403	0	OK	17-02-2026	07:16:47.650	1.767	23.097	OK	17-02-2026	07:16:47.650	1.767	1012	OK
17-02-2026	07:16:48.653	2.770	161.346	26.552	402	0	OK	17-02-2026	07:16:48.653	2.770	23.096	OK	17-02-2026	07:16:48.653	2.770	1012	OK
17-02-2026	07:16:49.652	3.769	161.310	26.555	403	0	OK	17-02-2026	07:16:49.652	3.769	23.095	OK	17-02-2026	07:16:49.652	3.769	1012	OK
17-02-2026	07:16:50.654	4.771	161.367	26.551	403	0	OK	17-02-2026	07:16:50.654	4.771	23.094	OK	17-02-2026	07:16:50.654	4.771	1012	OK
17-02-2026	07:16:51.653	5.770	161.411	26.548	403	1	OK	17-02-2026	07:16:51.653	5.770	23.093	OK	17-02-2026	07:16:51.653	5.770	1012	OK
17-02-2026	07:16:52.652	6.769	161.345	26.553	403	0	OK	17-02-2026	07:16:52.652	6.769	23.093	OK	17-02-2026	07:16:52.652	6.769	1012	OK
17-02-2026	07:16:53.652	7.769	161.505	26.541	403	0	OK	17-02-2026	07:16:53.652	7.769	23.093	OK	17-02-2026	07:16:53.652	7.769	1012	OK
17-02-2026	07:16:54.654	8.771	161.421	26.547	403	0	OK	17-02-2026	07:16:54.654	8.771	23.094	OK	17-02-2026	07:16:54.654	8.771	1012	OK
17-02-2026	07:16:55.655	9.772	161.367	26.551	403	0	OK	17-02-2026	07:16:55.655	9.772	23.094	OK	17-02-2026	07:16:55.655	9.772	1012	OK
17-02-2026	07:16:56.653	10.770	161.318	26.555	402	1	OK	17-02-2026	07:16:56.653	10.770	23.093	OK	17-02-2026	07:16:56.653	10.770	1012	OK
17-02-2026	07:16:57.652	11.769	161.322	26.555	402	0	OK	17-02-2026	07:16:57.652	11.769	23.092	OK	17-02-2026	07:16:57.652	11.769	1012	OK
17-02-2026	07:16:58.653	12.770	161.433	26.547	403	0	OK	17-02-2026	07:16:58.653	12.770	23.091	OK	17-02-2026	07:16:58.653	12.770	1012	OK
17-02-2026	07:16:59.654	13.771	161.500	26.542	402	0	OK	17-02-2026	07:16:59.654	13.771	23.091	OK	17-02-2026	07:16:59.654	13.771	1012	OK
17-02-2026	07:17:00.655	14.772	161.336	26.554	403	0	OK	17-02-2026	07:17:00.655	14.772	23.092	OK	17-02-2026	07:17:00.655	14.772	1012	OK
17-02-2026	07:17:01.654	15.771	161.296	26.557	402	0	OK	17-02-2026	07:17:01.654	15.771	23.092	OK	17-02-2026	07:17:01.654	15.771	1012	OK
17-02-2026	07:17:02.658	16.775	161.381	26.550	402	1	OK	17-02-2026	07:17:02.658	16.775	23.094	OK	17-02-2026	07:17:02.658	16.775	1012	OK
17-02-2026	07:17:03.658	17.775	161.371	26.551	403	0	OK	17-02-2026	07:17:03.658	17.775	23.093	OK	17-02-2026	07:17:03.658	17.775	1012	OK
17-02-2026	07:17:04.656	18.773	161.380	26.551	403	0	OK	17-02-2026	07:17:04.656	18.773	23.091	OK	17-02-2026	07:17:04.656	18.773	1012	OK
17-02-2026	07:17:05.655	19.772	161.388	26.551	403	0	OK	17-02-2026	07:17:05.655	19.772	23.089	OK	17-02-2026	07:17:05.655	19.772	1012	OK
17-02-2026	07:17:06.656	20.773	161.295	26.558	403	1	OK	17-02-2026	07:17:06.656	20.773	23.089	OK	17-02-2026	07:17:06.656	20.773	1012	OK
17-02-2026	07:17:07.657	21.774	161.447	26.546	403	0	OK	17-02-2026	07:17:07.657	21.774	23.091	OK	17-02-2026	07:17:07.657	21.774	1012	OK
17-02-2026	07:17:08.657	22.774	161.482	26.544	403	0	OK	17-02-2026	07:17:08.657	22.774	23.089	OK	17-02-2026	07:17:08.657	22.774	1012	OK
17-02-2026	07:17:09.657	23.774	161.606	26.535	402	0	OK	17-02-2026	07:17:09.657	23.774	23.088	OK	17-02-2026	07:17:09.657	23.774	1012	OK
17-02-2026	07:17:10.655	24.772	161.454	26.547	402	1	OK	17-02-2026	07:17:10.655	24.772	23.086	OK	17-02-2026	07:17:10.655	24.772	1012	OK
17-02-2026	07:17:11.658	25.775	161.485	26.545	402	1	OK	17-02-2026	07:17:11.658	25.775	23.085	OK	17-02-2026	07:17:11.658	25.775	1012	OK
17-02-2026	07:17:12.657	26.774	161.624	26.534	402	0	OK	17-02-2026	07:17:12.657	26.774	23.087	OK	17-02-2026	07:17:12.657	26.774	1012	OK
17-02-2026	07:17:13.656	27.773	161.575	26.537	402	0	OK	17-02-2026	07:17:13.656	27.773	23.089	OK	17-02-2026	07:17:13.656	27.773	1012	OK
17-02-2026	07:17:14.660	28.777	161.673	26.530	402	0	OK	17-02-2026	07:17:14.660	28.777	23.088	OK	17-02-2026	07:17:14.660	28.777	1012	OK
