#--- Experiment --------------------------------------------------------------------------
#TPC(2)-30-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_B [B] FSO2-C4 SN:22160068 UiD:2411E508596FD584 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.3] - Oxygen Sensor - XA7-533-212 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.422	53.148	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1012.056	24.063	49.404	24.219	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.3 Main]	Time [B Ch.3 Main]	 dt (s) [B Ch.3 Main]	Oxygen (µmol/L) [B Ch.3 Main]	dphi (°) [B Ch.3 Main]	Signal Intensity (mV) [B Ch.3 Main]	Ambient Light (mV) [B Ch.3 Main]	Status [B Ch.3 Main]	Date [B Ch.3 CompT]	Time [B Ch.3 CompT]	 dt (s) [B Ch.3 CompT]	Sample Temp. (°C) [B Ch.3 CompT]	Status [B Ch.3 CompT]	Date [B Ch.3 CompP]	Time [B Ch.3 CompP]	 dt (s) [B Ch.3 CompP]	Pressure (mbar) [B Ch.3 CompP]	Status [B Ch.3 CompP]
16-02-2026	11:42:38.608	0.045	145.021	25.471	489	0	OK	16-02-2026	11:42:38.608	0.045	30.011	OK	16-02-2026	11:42:38.608	0.045	1011	OK
16-02-2026	11:42:39.609	1.046	145.115	25.464	489	0	OK	16-02-2026	11:42:39.609	1.046	30.009	OK	16-02-2026	11:42:39.609	1.046	1011	OK
16-02-2026	11:42:40.606	2.043	145.088	25.467	489	0	OK	16-02-2026	11:42:40.606	2.043	30.006	OK	16-02-2026	11:42:40.606	2.043	1011	OK
16-02-2026	11:42:41.621	3.058	145.117	25.465	489	0	OK	16-02-2026	11:42:41.621	3.058	30.005	OK	16-02-2026	11:42:41.621	3.058	1011	OK
16-02-2026	11:42:42.610	4.047	145.070	25.469	489	0	OK	16-02-2026	11:42:42.610	4.047	30.004	OK	16-02-2026	11:42:42.610	4.047	1011	OK
16-02-2026	11:42:43.609	5.047	145.154	25.462	489	0	OK	16-02-2026	11:42:43.609	5.047	30.005	OK	16-02-2026	11:42:43.609	5.047	1011	OK
16-02-2026	11:42:44.611	6.048	145.145	25.463	489	0	OK	16-02-2026	11:42:44.611	6.048	30.004	OK	16-02-2026	11:42:44.611	6.048	1011	OK
16-02-2026	11:42:45.611	7.048	145.149	25.463	489	0	OK	16-02-2026	11:42:45.611	7.048	30.003	OK	16-02-2026	11:42:45.611	7.048	1011	OK
16-02-2026	11:42:46.610	8.048	145.247	25.456	489	0	OK	16-02-2026	11:42:46.610	8.048	30.000	OK	16-02-2026	11:42:46.610	8.048	1011	OK
16-02-2026	11:42:47.610	9.047	145.121	25.466	489	0	OK	16-02-2026	11:42:47.610	9.047	30.000	OK	16-02-2026	11:42:47.610	9.047	1011	OK
16-02-2026	11:42:48.611	10.048	145.238	25.457	489	0	OK	16-02-2026	11:42:48.611	10.048	29.999	OK	16-02-2026	11:42:48.611	10.048	1011	OK
16-02-2026	11:42:49.611	11.048	145.089	25.470	489	0	OK	16-02-2026	11:42:49.611	11.048	29.995	OK	16-02-2026	11:42:49.611	11.048	1011	OK
16-02-2026	11:42:50.611	12.048	145.123	25.467	489	0	OK	16-02-2026	11:42:50.611	12.048	29.996	OK	16-02-2026	11:42:50.611	12.048	1011	OK
16-02-2026	11:42:51.621	13.058	145.158	25.465	489	1	OK	16-02-2026	11:42:51.621	13.058	29.993	OK	16-02-2026	11:42:51.621	13.058	1011	OK
16-02-2026	11:42:52.612	14.049	145.178	25.464	489	0	OK	16-02-2026	11:42:52.612	14.049	29.991	OK	16-02-2026	11:42:52.612	14.049	1011	OK
