colony_id,Pmax,alpha,Rd,Ik
1,0.68055018,0.004819017,0.197902493,141.2217747
11,0.873721181,0.004821772,0.322631413,181.2033314
12,0.857366467,0.005229588,0.291655186,163.9453184
13,0.940745233,0.00356538,0.349301611,263.8554969
2,0.388013502,0.003282361,0.137404628,118.2117095
3,0.445268834,0.002991524,0.141935686,148.8435017
