7530-489662
OS REV: 1.08 Sensor Cal: 1737619200 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1771082700, +3.49, +23.654,  +500.6, +1315.0,  +128.0,  +176.0
1771083300, +3.49, +23.621,  +535.3, +1311.0,  +108.0,  +176.0
1771083900, +3.49, +23.604,  +575.4, +1311.0,  +108.0,  +176.0
1771084500, +3.49, +23.495,  +596.3, +1311.0,  +108.0,  +176.0
1771085100, +3.49, +23.337,  +620.5, +1239.0,  +102.0,  +265.0
1771085700, +3.49, +23.303,  +652.7, +1251.0,  +104.0,  +264.0
1771086300, +3.49, +23.220,  +635.9, +1240.0,  +102.0,  +264.0
1771086900, +3.49, +23.178,  +676.9, +1232.0,   +56.0,  +248.0
1771087500, +3.49, +23.078,  +648.4, +1240.0,  +102.0,  +268.0
1771088100, +3.49, +22.885,  +672.1, +1308.0,  +112.0,  +185.0
1771088700, +3.49, +22.358,  +699.6, +1304.0,  +126.0,  +211.0
1771089300, +3.49, +22.283,  +730.4, +1273.0,  +115.0,  +248.0
1771089900, +3.49, +22.542,  +722.0, +1265.0,  +112.0,  +259.0
1771090500, +3.49, +22.743,  +687.9, +1249.0,  +103.0,  +264.0
1771091100, +3.49, +22.919,  +742.9, +1246.0,  +102.0,  +264.0
1771091700, +3.49, +23.186,  +738.8, +1311.0,  +112.0,  +176.0
1771092300, +3.49, +23.270,  +750.8, +1307.0,  +131.0,  +200.0
1771092900, +3.49, +23.295,  +670.8, +1308.0,  +129.0,  +192.0
1771093500, +3.49, +23.353,  +730.6, +1308.0,  +131.0,  +192.0
1771094100, +3.49, +23.470,  +716.2, +1310.0,  +129.0,  +192.0
1771094700, +3.49, +23.637,  +708.2, +1307.0,  +129.0,  +198.0
1771095300, +3.49, +23.646,  +664.5, +1310.0,  +128.0,  +192.0
1771095900, +3.49, +23.144,  +661.9, +1249.0,  +104.0,  +264.0
1771096500, +3.49, +22.710,  +688.9, +1248.0,  +104.0,  +268.0
1771097100, +3.49, +22.325,  +644.4, +1278.0,  +112.0,  +252.0
1771097700, +3.49, +22.199,  +630.4, +1303.0,  +131.0,  +208.0
1771098300, +3.49, +22.275,  +612.1, +1299.0,  +128.0,  +214.0
1771098900, +3.49, +22.367,  +596.3, +1278.0,  +115.0,  +248.0
1771099500, +3.49, +22.559,  +567.5, +1287.0,  +116.0,  +243.0
1771100100, +3.49, +22.735,  +533.3, +1251.0,  +104.0,  +265.0
1771100700, +3.49, +22.751,  +549.2, +1254.0,  +104.0,  +264.0
1771101300, +3.49, +22.701,  +502.0, +1249.0,  +104.0,  +264.0
1771101900, +3.49, +22.701,  +461.2, +1248.0,  +104.0,  +268.0
1771102500, +3.49, +22.768,  +426.7, +1251.0,  +105.0,  +264.0
1771103100, +3.49, +22.843,  +414.9, +1254.0,  +104.0,  +264.0
1771103700, +3.49, +22.952,  +374.7, +1251.0,  +104.0,  +264.0
1771104300, +3.49, +22.977,  +363.2, +1260.0,  +108.0,  +262.0
1771104900, +3.49, +22.852,  +330.0, +1249.0,  +104.0,  +263.0
1771105500, +3.49, +22.726,  +302.9, +1310.0,  +112.0,  +176.0
1771106100, +3.49, +22.659,  +256.2, +1313.0,  +121.0,  +172.0
1771106700, +3.49, +22.676,  +248.0, +1315.0,  +129.0,  +176.0
1771107300, +3.49, +22.634,  +207.6, +1315.0,  +124.0,  +172.0
1771107900, +3.49, +22.609,  +181.9, +1312.0,  +120.0,  +172.0
1771108500, +3.49, +22.559,  +153.4, +1310.0,  +104.0,  +183.0
1771109100, +3.49, +22.551,  +123.7, +1233.0,   +99.0,  +264.0
1771109700, +3.49, +22.559,  +100.6, +1311.0,  +131.0,  +180.0
1771110300, +3.49, +22.501,   +74.2, +1311.0,  +116.0,  +176.0
1771110900, +3.49, +22.509,   +50.7, +1225.0,   +99.0,  +264.0
1771111500, +3.49, +22.534,   +32.3, +1308.0,  +108.0,  +183.0
1771112100, +3.49, +22.576,   +20.1, +1244.0,  +102.0,  +268.0
1771112700, +3.49, +22.710,    +8.6, +1255.0,  +103.0,  +264.0
1771113300, +3.49, +22.843,    +2.4, +1264.0,  +110.0,  +260.0
1771113900, +3.49, +23.011,    +0.1, +1251.0,  +100.0,  +268.0
1771114500, +3.49, +23.069,    -0.0, +1251.0,  +108.0,  +264.0
1771115100, +3.49, +22.935,    +0.3, +1255.0,  +108.0,  +263.0
1771115700, +3.49, +22.777,    -0.1, +1249.0,  +103.0,  +264.0
1771116300, +3.49, +22.643,    -0.0, +1251.0,  +104.0,  +264.0
1771116900, +3.49, +22.501,    +0.2, +1276.0,  +115.0,  +252.0
1771117500, +3.49, +22.400,    +0.3, +1264.0,  +112.0,  +262.0
1771118100, +3.49, +22.358,    +0.1, +1276.0,  +112.0,  +252.0
1771118700, +3.49, +22.350,    -0.0, +1279.0,  +115.0,  +246.0
1771119300, +3.49, +22.333,    +0.2, +1292.0,  +121.0,  +232.0
1771119900, +3.49, +22.316,    -0.0, +1289.0,  +120.0,  +236.0
1771120500, +3.49, +22.342,    +0.1, +1294.0,  +120.0,  +232.0
1771121100, +3.49, +22.350,    +0.0, +1272.0,  +112.0,  +254.0
1771121700, +3.49, +22.392,    +0.3, +1305.0,  +128.0,  +204.0
1771122300, +3.49, +22.542,    -0.3, +1255.0,  +105.0,  +263.0
1771122900, +3.49, +22.626,    -0.3, +1262.0,  +110.0,  +263.0
1771123500, +3.49, +22.676,    +0.2, +1264.0,  +108.0,  +262.0
1771124100, +3.49, +22.793,    +0.2, +1286.0,  +116.0,  +243.0
1771124700, +3.49, +22.927,    -0.1, +1249.0,  +104.0,  +264.0
1771125300, +3.49, +23.052,    +0.3, +1238.0,  +103.0,  +268.0
1771125900, +3.49, +23.111,    -0.0, +1240.0,  +102.0,  +264.0
1771126500, +3.49, +23.203,    -0.0, +1311.0,  +132.0,  +184.0
1771127100, +3.49, +23.270,    -0.3, +1235.0,  +100.0,  +268.0
1771127700, +3.49, +23.337,    -0.2, +1244.0,  +103.0,  +265.0
1771128300, +3.49, +23.420,    +0.0, +1310.0,  +108.0,  +172.0
1771128900, +3.49, +23.445,    -0.2, +1240.0,  +102.0,  +264.0
1771129500, +3.49, +23.529,    -0.1, +1264.0,  +112.0,  +259.0
1771130100, +3.49, +23.604,    -0.1, +1231.0,   +96.0,  +270.0
1771130700, +3.49, +23.679,    -0.3, +1313.0,  +124.0,  +172.0
1771131300, +3.49, +23.771,    -0.3, +1310.0,  +132.0,  +188.0
1771131900, +3.49, +23.804,    -0.1, +1299.0,  +124.0,  +220.0
1771132500, +3.49, +23.829,    -0.0, +1299.0,  +124.0,  +222.0
1771133100, +3.49, +23.871,    +0.0, +1283.0,  +115.0,  +244.0
1771133700, +3.49, +23.963,    +0.1, +1272.0,  +112.0,  +252.0
1771134300, +3.49, +24.038,    -0.1, +1279.0,  +112.0,  +248.0
1771134900, +3.49, +24.138,    +0.2, +1281.0,  +112.0,  +248.0
1771135500, +3.50, +24.213,    -0.1, +1262.0,  +108.0,  +262.0
1771136100, +3.50, +24.280,    -0.1, +1248.0,  +104.0,  +264.0
1771136700, +3.50, +24.355,    -0.0, +1251.0,  +104.0,  +264.0
1771137300, +3.50, +24.455,    -0.2, +1311.0,  +128.0,  +184.0
1771137900, +3.50, +24.547,    +0.1, +1246.0,  +102.0,  +268.0
1771138500, +3.50, +24.630,    -0.5, +1244.0,  +102.0,  +268.0
1771139100, +3.50, +24.755,    -0.1, +1308.0,  +108.0,  +179.0
1771139700, +3.50, +24.838,    -0.2, +1232.0,   +96.0,  +268.0
1771140300, +3.50, +24.888,    -0.2, +1311.0,  +131.0,  +180.0
1771140900, +3.50, +24.938,    -0.3, +1311.0,  +120.0,  +174.0
1771141500, +3.50, +25.030,    -0.0, +1311.0,  +131.0,  +188.0
1771142100, +3.50, +25.154,    +0.3, +1310.0,  +131.0,  +192.0
1771142700, +3.50, +25.221,    -0.0, +1310.0,  +104.0,  +176.0
1771143300, +3.50, +25.279,    -0.0, +1315.0,  +128.0,  +176.0
1771143900, +3.50, +25.271,    +0.1, +1313.0,  +128.0,  +180.0
1771144500, +3.50, +25.287,    +0.1, +1310.0,  +128.0,  +192.0
1771145100, +3.50, +25.346,    -0.0, +1310.0,  +128.0,  +188.0
1771145700, +3.50, +25.371,    +0.2, +1287.0,  +115.0,  +240.0
1771146300, +3.50, +25.396,    -0.0, +1308.0,  +128.0,  +192.0
1771146900, +3.50, +25.404,    -0.0, +1310.0,  +104.0,  +177.0
1771147500, +3.50, +25.429,    +0.0, +1311.0,  +129.0,  +184.0
1771148100, +3.50, +25.429,    +0.1, +1310.0,  +131.0,  +192.0
1771148700, +3.50, +25.454,    -0.1, +1308.0,  +131.0,  +192.0
1771149300, +3.50, +25.445,    -0.2, +1312.0,  +128.0,  +176.0
1771149900, +3.50, +25.462,    -0.4, +1296.0,  +124.0,  +224.0
1771150500, +3.50, +25.445,    -0.0, +1235.0,   +97.0,  +264.0
1771151100, +3.50, +25.495,    -0.3, +1233.0,   +99.0,  +265.0
1771151700, +3.50, +25.487,    -0.4, +1238.0,   +99.0,  +268.0
1771152300, +3.50, +25.462,    -0.1, +1228.0,   +96.0,  +264.0
1771152900, +3.50, +25.479,    +0.0, +1228.0,   +96.0,  +264.0
