7530-489662
OS REV: 1.08 Sensor Cal: 1737619200 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1770995700, +3.40, +31.192,  +509.2, +1198.0,   +14.0,  +185.0
1770996300, +3.55, +27.795,   +48.9, +1295.0,  +164.0,  +252.0
1770996900, +3.55, +26.822,  +658.7, +1224.0,   +96.0,  +264.0
1770997500, +3.54, +26.532,  +478.7, +1228.0,   +99.0,  +264.0
1770998100, +3.54, +26.408,  +633.0, +1231.0,   +97.0,  +264.0
1770998700, +3.54, +26.400,  +617.7, +1227.0,   +97.0,  +263.0
1770999300, +3.54, +26.383,  +693.1, +1230.0,   +99.0,  +263.0
1770999900, +3.54, +26.391,  +679.9, +1228.0,   +96.0,  +264.0
1771000500, +3.54, +26.400,  +653.7, +1230.0,   +99.0,  +268.0
1771001100, +3.54, +26.408,  +692.1, +1231.0,   +99.0,  +264.0
1771001700, +3.54, +26.425,  +391.7, +1230.0,   +97.0,  +262.0
1771002300, +3.54, +26.408,  +735.4, +1228.0,   +99.0,  +265.0
1771002900, +3.54, +26.433,  +721.7, +1231.0,   +96.0,  +264.0
1771003500, +3.53, +26.458,  +623.0, +1230.0,   +96.0,  +264.0
1771004100, +3.53, +26.474,  +725.8, +1230.0,   +99.0,  +265.0
1771004700, +3.53, +26.466,  +290.0, +1230.0,   +97.0,  +268.0
1771005300, +3.53, +26.449,  +750.4, +1231.0,   +97.0,  +270.0
1771005900, +3.53, +26.466,  +729.9, +1228.0,   +96.0,  +264.0
1771006500, +3.53, +26.483,  +863.2, +1228.0,   +97.0,  +268.0
1771007100, +3.53, +26.466,  +810.3, +1228.0,   +97.0,  +264.0
1771007700, +3.53, +26.425,  +756.5, +1231.0,   +96.0,  +264.0
1771008300, +3.53, +26.383,  +278.1, +1231.0,   +96.0,  +268.0
1771008900, +3.53, +26.300,  +354.2, +1230.0,   +97.0,  +264.0
1771009500, +3.53, +26.010,  +687.1, +1232.0,   +99.0,  +264.0
1771010100, +3.53, +25.902,  +672.2, +1231.0,   +96.0,  +268.0
1771010700, +3.53, +25.612,  +640.5, +1235.0,   +99.0,  +265.0
1771011300, +3.53, +25.346,  +651.8, +1304.0,  +128.0,  +195.0
1771011900, +3.52, +25.238,  +629.6, +1308.0,  +131.0,  +192.0
1771012500, +3.52, +25.204,  +617.0, +1235.0,   +99.0,  +264.0
1771013100, +3.52, +25.188,  +190.0, +1310.0,  +108.0,  +174.0
1771013700, +3.52, +25.229,  +528.4, +1233.0,   +99.0,  +264.0
1771014300, +3.52, +25.263,  +506.1, +1239.0,  +102.0,  +268.0
1771014900, +3.52, +25.229,  +490.9, +1255.0,  +104.0,  +263.0
1771015500, +3.52, +25.229,  +465.5, +1308.0,   +96.0,  +179.0
1771016100, +3.52, +25.246,  +440.2, +1235.0,   +99.0,  +268.0
1771016700, +3.52, +25.329,  +427.7, +1238.0,  +102.0,  +264.0
1771017300, +3.52, +25.470,  +390.0, +1312.0,  +128.0,  +176.0
1771017900, +3.52, +25.620,  +348.6, +1231.0,   +97.0,  +264.0
1771018500, +3.52, +25.786,  +313.2, +1235.0,  +100.0,  +270.0
1771019100, +3.52, +25.935,  +293.3, +1231.0,   +99.0,  +268.0
1771019700, +3.52, +26.010,  +262.2, +1308.0,  +129.0,  +192.0
1771020300, +3.52, +25.761,  +233.7, +1308.0,  +105.0,  +185.0
1771020900, +3.52, +25.529,  +202.4, +1235.0,   +96.0,  +265.0
1771021500, +3.52, +25.362,  +165.0, +1231.0,   +99.0,  +265.0
1771022100, +3.52, +25.312,  +141.1, +1238.0,  +102.0,  +263.0
1771022700, +3.51, +25.296,  +107.5, +1235.0,  +104.0,  +264.0
1771023300, +3.51, +25.229,   +86.6, +1308.0,  +111.0,  +185.0
1771023900, +3.51, +25.179,   +63.6, +1239.0,  +100.0,  +264.0
1771024500, +3.51, +25.121,   +46.9, +1251.0,  +103.0,  +263.0
1771025100, +3.51, +25.080,   +29.0, +1244.0,  +103.0,  +264.0
1771025700, +3.51, +25.080,   +16.8, +1232.0,   +96.0,  +264.0
1771026300, +3.51, +25.063,    +7.3, +1260.0,  +105.0,  +262.0
1771026900, +3.51, +25.038,    +2.3, +1235.0,  +100.0,  +268.0
1771027500, +3.51, +25.038,    -0.2, +1303.0,  +124.0,  +211.0
1771028100, +3.51, +25.071,    -0.8, +1304.0,  +128.0,  +204.0
1771028700, +3.51, +25.088,    -0.4, +1308.0,  +131.0,  +192.0
1771029300, +3.51, +25.088,    -0.2, +1310.0,  +129.0,  +192.0
1771029900, +3.51, +25.088,    -0.7, +1310.0,  +131.0,  +188.0
1771030500, +3.51, +25.063,    -1.0, +1311.0,  +131.0,  +184.0
1771031100, +3.51, +25.021,    -0.7, +1308.0,  +131.0,  +192.0
1771031700, +3.51, +24.988,    -0.3, +1311.0,  +131.0,  +180.0
1771032300, +3.51, +24.955,    -0.5, +1311.0,  +124.0,  +176.0
1771032900, +3.51, +24.980,    -0.7, +1311.0,  +120.0,  +172.0
1771033500, +3.51, +24.980,    -0.5, +1310.0,  +132.0,  +192.0
1771034100, +3.51, +24.988,    -0.2, +1310.0,  +128.0,  +192.0
1771034700, +3.51, +24.971,    -0.3, +1311.0,  +129.0,  +192.0
1771035300, +3.51, +24.905,    +0.2, +1240.0,   +99.0,  +265.0
1771035900, +3.51, +24.821,    -0.1, +1286.0,  +120.0,  +240.0
1771036500, +3.51, +24.755,    +0.3, +1248.0,  +103.0,  +264.0
1771037100, +3.50, +24.763,    +0.4, +1304.0,  +128.0,  +211.0
1771037700, +3.50, +24.713,    +0.2, +1307.0,  +129.0,  +200.0
1771038300, +3.50, +24.697,    +0.6, +1310.0,  +131.0,  +193.0
1771038900, +3.50, +24.688,    -0.5, +1264.0,  +110.0,  +259.0
1771039500, +3.50, +24.713,    +0.5, +1288.0,  +120.0,  +236.0
1771040100, +3.50, +24.705,    +0.1, +1289.0,  +120.0,  +232.0
1771040700, +3.50, +24.672,    +0.3, +1302.0,  +128.0,  +216.0
1771041300, +3.50, +24.663,    +0.8, +1303.0,  +128.0,  +209.0
1771041900, +3.50, +24.655,    -0.1, +1267.0,  +110.0,  +259.0
1771042500, +3.50, +24.663,    +0.3, +1283.0,  +115.0,  +246.0
1771043100, +3.50, +24.672,    +0.1, +1256.0,  +108.0,  +263.0
1771043700, +3.50, +24.705,    +0.0, +1308.0,  +131.0,  +195.0
