Tube.ID,Tube lable ,Date,Location,colony_id,Species,Fixative,Goal,Process,TREATMENT,Note,Slury.vol.ml,,
64,32,20261102,Samara,POR_12,Porites lobata,500um RNA/DNA shield,16S,,,,,,
65,33,20261102,Samara,POR_13,Porites lobata,500um RNA/DNA shield,16S,,,,,,
66,33,20261102,Samara,POR_13,Porites lobata,500um RNA/DNA shield,16S,,,,,,
67,34,20261102,Samara,POR_14,Porites lobata,500um RNA/DNA shield,16S,,,,,,
68,24,20261102,Samara,POR_14,Porites lobata,500um RNA/DNA shield,16S,,,,,,
69,35,20261102,Samara,POR_15,Porites lobata,500um RNA/DNA shield,16S,,,,,,
70,35,20261102,Samara,POR_15,Porites lobata,500um RNA/DNA shield,16S,,,,,,
71,36,20261102,Samara,POR_16,Porites lobata,500um RNA/DNA shield,16S,,,,,,
72,36,20261102,Samara,POR_16,Porites lobata,500um RNA/DNA shield,16S,,,,,,
73,37,20261102,Samara,POR_17,Porites lobata,500um RNA/DNA shield,16S,,,,,,
74,37,20261102,Samara,POR_17,Porites lobata,500um RNA/DNA shield,16S,,,,,,
75,38,20261102,Samara,POR_18,Porites lobata,500um RNA/DNA shield,16S,,,,,,
76,38,20261102,Samara,POR_18,Porites lobata,500um RNA/DNA shield,16S,,,,,,
77,39,20261102,Samara,POR_19,Porites lobata,500um RNA/DNA shield,16S,,,,,,
78,39,20261102,Samara,POR_19,Porites lobata,500um RNA/DNA shield,16S,,,,,,
79,40,20261102,Samara,POR_20,Porites lobata,500um RNA/DNA shield,16S,,,,,,
80,40,20261102,Samara,POR_20,Porites lobata,500um RNA/DNA shield,16S,,,,,,
81,41,20261102,Samara,POC_1,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
82,41,20261102,Samara,POC_1,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
83,42,20261102,Samara,POC_2,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
84,42,20261102,Samara,POC_2,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
85,43,20261102,Samara,POC_3,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
86,43,20261102,Samara,POC_3,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
87,44,20261102,Samara,POC_4,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
88,44,20261102,Samara,POC_4,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
89,45,20261102,Samara,POC_5,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
90,45,20261102,Samara,POC_5,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
91,46,20261102,Samara,POC_6,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
92,46,20261102,Samara,POC_6,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
93,47,20261102,Samara,POC_7,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
94,47,20261102,Samara,POC_7,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
95,48,20261102,Samara,POC_8,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
96,48,20261102,Samara,POC_8,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
97,49,20261102,Samara,POC_9,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
98,49,20261102,Samara,POC_9,Pocillopora capitata,-20,Physiology,Air brush,,Ambient,4,,
