colony_id,species,Temp.Cat,Run,Date,notes
bk7,Blank,24,14,20261602,
POR_34,Porites,26,15,20261602,
POR_35,Porites,26,15,20261602,
POR_36,Porites,26,15,20261602,
POR_38,Porites,26,15,20261602,
POR_39,Porites,26,15,20261602,
POC_24,Poccilopora,26,15,20261602,
POC_25,Poccilopora,26,15,20261602,
POC_26,Poccilopora,26,15,20261602,
POC_27,Poccilopora,26,15,20261602,
POC_28,Poccilopora,26,15,20261602,
bk6,Blank,26,15,20261602,
bk7,Blank,26,15,20261602,
POR_34,Porites,28,16,20261602,
POR_35,Porites,28,16,20261602,
POR_36,Porites,28,16,20261602,
POR_38,Porites,28,16,20261602,
POR_39,Porites,28,16,20261602,
POC_24,Poccilopora,28,16,20261602,
POC_25,Poccilopora,28,16,20261602,
POC_26,Poccilopora,28,16,20261602,
POC_27,Poccilopora,28,16,20261602,
POC_28,Poccilopora,28,16,20261602,
bk6,Blank,28,16,20261602,
bk7,Blank,28,16,20261602,
POR_34,Porites,30,17,20261602,
POR_35,Porites,30,17,20261602,
POR_36,Porites,30,17,20261602,
POR_38,Porites,30,17,20261602,
POR_39,Porites,30,17,20261602,
POC_24,Poccilopora,30,17,20261602,
POC_25,Poccilopora,30,17,20261602,
POC_26,Poccilopora,30,17,20261602,
POC_27,Poccilopora,30,17,20261602,
POC_28,Poccilopora,30,17,20261602,
bk6,Blank,30,17,20261602,
bk7,Blank,30,17,20261602,
POR_34,Porites,32,18,20261602,
POR_35,Porites,32,18,20261602,
POR_36,Porites,32,18,20261602,
POR_38,Porites,32,18,20261602,
POR_39,Porites,32,18,20261602,
POC_24,Poccilopora,32,18,20261602,
POC_25,Poccilopora,32,18,20261602,
POC_26,Poccilopora,32,18,20261602,
POC_27,Poccilopora,32,18,20261602,
POC_28,Poccilopora,32,18,20261602,
bk6,Blank,32,18,20261602,
bk7,Blank,32,18,20261602,
POR_34,Porites,34,19,20261602,
POR_35,Porites,34,19,20261602,
POR_36,Porites,34,19,20261602,
POR_38,Porites,34,19,20261602,
POR_39,Porites,34,19,20261602,
POC_24,Poccilopora,34,19,20261602,
POC_25,Poccilopora,34,19,20261602,
POC_26,Poccilopora,34,19,20261602,
POC_27,Poccilopora,34,19,20261602,
POC_28,Poccilopora,34,19,20261602,
bk6,Blank,34,19,20261602,
bk7,Blank,34,19,20261602,
POC_23,Poccilopora,22,20,20261702,
POC_21,Poccilopora,22,20,20261702,
POC_29,Poccilopora,22,20,20261702,
POC_22,Poccilopora,22,20,20261702,
POC_30,Poccilopora,22,20,20261702,
POR_32,Porites,22,20,20261702,
POR_33,Porites,22,20,20261702,
POR_37,Porites,22,20,20261702,
POC_31,Porites,22,20,20261702,
POC_40,Porites,22,20,20261702,
bk8,Blank,22,20,20261702,
bk9,Blank,22,20,20261702,
POC_23,Poccilopora,25,21,20261702,
POC_21,Poccilopora,25,21,20261702,
POC_29,Poccilopora,25,21,20261702,
POC_22,Poccilopora,25,21,20261702,
POC_30,Poccilopora,25,21,20261702,
POR_32,Porites,25,21,20261702,
POR_33,Porites,25,21,20261702,
POR_37,Porites,25,21,20261702,
POC_31,Porites,25,21,20261702,
POC_40,Porites,25,21,20261702,
bk8,Blank,25,21,20261702,
bk9,Blank,25,21,20261702,
POC_23,Poccilopora,26,22,20261702,
POC_21,Poccilopora,26,22,20261702,
POC_29,Poccilopora,26,22,20261702,
POC_22,Poccilopora,26,22,20261702,
POC_30,Poccilopora,26,22,20261702,
POR_32,Porites,26,22,20261702,
POR_33,Porites,26,22,20261702,
POR_37,Porites,26,22,20261702,
POC_31,Porites,26,22,20261702,
POC_40,Porites,26,22,20261702,
bk8,Blank,26,22,20261702,
bk9,Blank,26,22,20261702,
POC_23,Poccilopora,28,23,20261702,
POC_21,Poccilopora,28,23,20261702,
POC_29,Poccilopora,28,23,20261702,
POC_22,Poccilopora,28,23,20261702,
POC_30,Poccilopora,28,23,20261702,
POR_32,Porites,28,23,20261702,
POR_33,Porites,28,23,20261702,
POR_37,Porites,28,23,20261702,
POC_31,Porites,28,23,20261702,
POC_40,Porites,28,23,20261702,
bk8,Blank,28,23,20261702,
bk9,Blank,28,23,20261702,
POC_23,Poccilopora,30,24,20261702,
POC_21,Poccilopora,30,24,20261702,
POC_29,Poccilopora,30,24,20261702,
POC_22,Poccilopora,30,24,20261702,
POC_30,Poccilopora,30,24,20261702,
POR_32,Porites,30,24,20261702,
POR_33,Porites,30,24,20261702,
POR_37,Porites,30,24,20261702,
POC_31,Porites,30,24,20261702,
POC_40,Porites,30,24,20261702,
bk8,Blank,30,24,20261702,
bk9,Blank,30,24,20261702,
POC_23,Poccilopora,32,25,20261702,
POC_21,Poccilopora,32,25,20261702,
POC_29,Poccilopora,32,25,20261702,
POC_22,Poccilopora,32,25,20261702,
POC_30,Poccilopora,32,25,20261702,
POR_32,Porites,32,25,20261702,
POR_33,Porites,32,25,20261702,
POR_37,Porites,32,25,20261702,
POC_31,Porites,32,25,20261702,
POC_40,Porites,32,25,20261702,
bk8,Blank,32,25,20261702,
bk9,Blank,32,25,20261702,
POC_23,Poccilopora,34,26,20261702,
POC_21,Poccilopora,34,26,20261702,
POC_29,Poccilopora,34,26,20261702,
POC_22,Poccilopora,34,26,20261702,
POC_30,Poccilopora,34,26,20261702,
POR_32,Porites,34,26,20261702,
POR_33,Porites,34,26,20261702,
POR_37,Porites,34,26,20261702,
POC_31,Porites,34,26,20261702,
POC_40,Porites,34,26,20261702,
bk8,Blank,34,26,20261702,
bk9,Blank,34,26,20261702,
