,...1,Species,Colony,Site,Temp,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
25,25,Porites,POR_36,Papagayo,26,20260216.03,2/16/2026,43973,633.9,-0.3,22.8,16.32,178,299.2,121.2,0.405,297.3,0.3,0.69,424,0.12,2549,0.2,128863,--------,-------,737,25939,400,339.1,361.8,22.7,0.063,150,0.07,0.147,437,0.015,16464,0.839,16508,--------,-------,14112,14146,70.9
26,26,Poccilopora,POC_28,Papagayo,26,20260216.03,2/16/2026,44004,445.8,-0.3,22.8,16.3,123.6,196.3,72.6,0.37,251,0.29,0.66,376,0.13,3185,0.21,167652,--------,-------,840,36305,600,207.2,224.4,17.2,0.077,154.3,0.19,0.196,602,0.789,17672,0.016,17776,--------,-------,14280,14335,70
27,27,Poccilopora,POC_24,Papagayo,26,20260216.03,2/16/2026,44042,463.3,-0.3,22.8,16.29,148.6,255.1,106.4,0.417,279.4,0.28,0.63,374,0.16,2323,0.21,111519,--------,-------,763,23848,500,267.3,287.9,20.7,0.072,163.8,0.13,0.159,658,0.012,16792,0.829,16807,--------,-------,14213,14245,70.4
28,28,Poccilopora,POC_26,Papagayo,26,20260216.03,2/16/2026,44074,442.2,-0.3,22.9,16.29,140.6,235.3,94.6,0.402,274.6,0.29,0.61,403,0.17,2209,0.22,127817,--------,-------,799,28635,500,250.7,270.8,20.1,0.074,159.9,0.21,0.152,786,0.835,15562,0.014,15614,--------,-------,13292,13323,75.2
29,29,Poccilopora,POC_25,Papagayo,26,20260216.03,2/16/2026,44126,383.5,-0.3,22.9,16.27,215.2,370.6,155.3,0.419,335.5,0.23,0.68,398,0.13,3655,0.18,142143,--------,-------,931,26847,300,400.3,436.4,36,0.083,165.5,0.18,0.161,816,0.02,18172,0.819,18190,--------,-------,15340,15397,65.2
30,30,Poccilopora,POC_27,Papagayo,26,20260216.03,2/16/2026,44165,694.9,-0.3,22.9,16.25,146.7,248.8,102.1,0.41,299.2,0.27,0.64,365,0.15,2484,0.21,126942,--------,-------,778,27234,500,298.9,311.6,12.8,0.041,174.3,0,0.024,638,0.959,14921,0.017,39968,--------,-------,14572,15009,68.6
31,31,Porites,POR_38,Papagayo,28,20260216.03,2/16/2026,47247,473.2,-0.3,23.9,16.24,291.1,488.5,197.3,0.404,330.7,0.24,0.6,323,0.19,1994,0.2,105498,--------,-------,730,21703,0,487.9,531.7,43.9,0.083,168.2,0.01,0.216,454,0.767,15784,0.017,15869,--------,-------,12409,12468,80.6
32,32,Porites,POR_39,Papagayo,28,20260216.03,2/16/2026,47281,597.3,-0.3,23.9,16.25,217.9,357.6,139.7,0.391,310.8,0.27,0.63,372,0.16,2327,0.2,162425,--------,-------,774,33427,300,373.5,399.4,25.9,0.065,168.3,0.02,0.163,544,0.812,15052,0.025,15052,--------,-------,12623,12683,79.2
33,33,Porites,POR_36,Papagayo,28,20260216.03,2/16/2026,47311,728,-0.3,23.9,16.22,86.3,139,52.7,0.379,228.7,0.34,0.64,364,0.13,1540,0.23,211736,--------,-------,561,48398,700,161.6,174.9,13.3,0.076,150.6,0.11,0.203,385,0.027,18209,0.771,18236,--------,-------,14516,14615,68.9
34,34,Porites,POR_35,Papagayo,28,20260216.03,2/16/2026,47338,509.6,-0.3,23.9,16.22,164.9,294.1,129.2,0.439,265.3,0.3,0.64,415,0.16,2587,0.2,106172,--------,-------,858,21500,400,267.7,293.5,25.8,0.088,166,0.21,0.222,553,0.012,14705,0.767,14739,--------,-------,11559,11596,86.5
