7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1770822720, +3.23, +28.124,   +17.8, +1248.0,  +108.0,  +444.0
1770823320, +3.23, +29.325,    +0.0,   +64.0,  +396.0, +1454.0
1770823920, +3.23, +28.648,    +0.5, +1216.0,  -280.0,  +638.0
1770824520, +3.23, +26.847,    +0.0,  -512.0, -1328.0,  +387.0
1770825120, +3.23, +26.242,  +553.7, +1200.0,  -392.0,  +312.0
1770825720, +3.23, +26.035,  +542.4, +1203.0,  -372.0,  +326.0
1770826320, +3.23, +25.952,  +540.9, +1199.0,  -376.0,  +386.0
1770826920, +3.23, +25.911,  +539.4, +1164.0,  -376.0,  +542.0
1770827520, +3.23, +25.894,  +565.7, +1208.0,  -368.0,  +396.0
1770828120, +3.23, +25.869,  +551.0, +1174.0,  -392.0,  +455.0
1770828720, +3.23, +25.886,  +564.6, +1200.0,  -352.0,  +528.0
1770829320, +3.23, +25.861,  +588.6, +1153.0,  -376.0,  +563.0
1770829920, +3.23, +25.894,  +545.8, +1201.0,  -344.0,  +408.0
1770830520, +3.23, +25.886,  +517.7, +1175.0,  -382.0,  +464.0
1770831120, +3.23, +25.894,  +564.4, +1155.0,  -400.0,  +494.0
1770831720, +3.23, +25.902,  +560.1, +1137.0,  -392.0,  +440.0
1770832320, +3.23, +25.960,  +533.6, +1144.0,  -397.0,  +524.0
1770832920, +3.23, +25.985,  +549.8, +1151.0,  -378.0,  +515.0
1770833520, +3.23, +26.002,  +555.9, +1159.0,  -368.0,  +484.0
1770834120, +3.23, +26.018,  +578.6, +1150.0,  -408.0,  +494.0
1770834720, +3.23, +26.060,  +515.4, +1145.0,  -382.0,  +500.0
1770835320, +3.23, +26.101,  +508.4, +1195.0,  -384.0,  +384.0
1770835920, +3.23, +26.135,  +529.6, +1137.0,  -392.0,  +508.0
1770836520, +3.23, +26.151,  +496.4, +1134.0,  -388.0,  +510.0
1770837120, +3.23, +26.159,  +492.4, +1136.0,  -384.0,  +528.0
1770837720, +3.23, +26.176,  +482.0, +1159.0,  -399.0,  +465.0
1770838320, +3.23, +26.176,  +441.1, +1136.0,  -410.0,  +492.0
1770838920, +3.23, +26.168,  +433.2, +1144.0,  -404.0,  +496.0
