7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1770957120, +3.22, +28.189,    -0.0, +1187.0,  -448.0,  +416.0
1770957720, +3.22, +28.181,    -0.0, +1171.0,  -493.0,  +260.0
1770958320, +3.22, +28.165,    -0.0, +1176.0,  -496.0,  +302.0
1770958920, +3.22, +28.156,    -0.0, +1176.0,  -488.0,  +370.0
1770959520, +3.22, +28.156,    -0.0, +1167.0,  -493.0,  +368.0
1770960120, +3.22, +28.140,    -0.0, +1171.0,  -488.0,  +310.0
1770960720, +3.22, +28.148,    -0.0, +1177.0,  -480.0,  +304.0
1770961320, +3.22, +28.083,    -0.1, +1190.0,  -464.0,  +368.0
1770961920, +3.22, +28.074,    -0.0, +1183.0,  -464.0,  +376.0
1770962520, +3.22, +28.074,    -0.0, +1183.0,  -488.0,  +348.0
1770963120, +3.22, +28.058,    -0.0, +1177.0,  -496.0,  +280.0
1770963720, +3.22, +28.050,    -0.0, +1168.0,  -472.0,  +422.0
1770964320, +3.22, +28.025,    -0.1, +1168.0,  -492.0,  +416.0
1770964920, +3.22, +27.910,    -0.0, +1192.0,  -444.0,  +368.0
1770965520, +3.22, +27.844,    -0.0, +1180.0,  -488.0,  +268.0
1770966120, +3.22, +27.828,    +0.0, +1196.0,  -424.0,  +384.0
1770966720, +3.22, +27.803,    -0.0, +1196.0,  -436.0,  +340.0
1770967320, +3.22, +27.844,    -0.0, +1216.0,  -340.0,  +227.0
1770967920, +3.22, +27.754,    -0.0, +1134.0,  -584.0,  +460.0
1770968520, +3.22, +27.622,    -0.0, +1193.0,  -436.0,  +308.0
1770969120, +3.22, +27.746,    -0.0, +1105.0,  -452.0,  +494.0
1770969720, +3.22, +27.762,    -0.0, +1187.0,  -480.0,  +224.0
1770970320, +3.22, +27.795,    +0.0, +1094.0,  -456.0,  +487.0
1770970920, +3.22, +27.877,    -0.0, +1195.0,  -444.0,  +384.0
1770971520, +3.22, +27.918,    -0.0, +1190.0,  -456.0,  +262.0
1770972120, +3.22, +27.885,    -0.0, +1183.0,  -488.0,  +263.0
1770972720, +3.22, +27.861,    -0.0, +1191.0,  -464.0,  +374.0
1770973320, +3.22, +27.918,    -0.0, +1183.0,  -456.0,  +392.0
1770973920, +3.22, +27.943,    -0.0, +1196.0,  -452.0,  +391.0
1770974520, +3.22, +27.968,    -0.0, +1176.0,  -432.0,  +440.0
1770975120, +3.22, +27.968,    -0.0, +1185.0,  -442.0,  +364.0
1770975720, +3.22, +27.959,    -0.0, +1196.0,  -432.0,  +300.0
1770976320, +3.22, +27.935,    -0.0, +1188.0,  -464.0,  +288.0
1770976920, +3.22, +27.902,    -0.0, +1176.0,  -464.0,  +332.0
1770977520, +3.22, +27.861,    -0.0, +1161.0,  -410.0,  +480.0
1770978120, +3.22, +27.853,    +0.0, +1190.0,  -472.0,  +278.0
1770978720, +3.22, +27.779,    -0.0, +1190.0,  -444.0,  +352.0
1770979320, +3.22, +27.704,    -0.0, +1192.0,  -456.0,  +288.0
1770979920, +3.22, +27.565,    -0.0, +1089.0,  -440.0,  +499.0
1770980520, +3.22, +27.490,    -0.0, +1120.0,  -458.0,  +480.0
1770981120, +3.22, +27.515,    -0.0, +1112.0,  -448.0,  +527.0
1770981720, +3.22, +27.614,    -0.0, +1096.0,  -484.0,  +451.0
1770982320, +3.22, +27.729,    -0.0, +1200.0,  -440.0,  +320.0
1770982920, +3.22, +27.787,    +0.0, +1094.0,  -464.0,  +452.0
1770983520, +3.22, +27.795,    +0.2, +1200.0,  -452.0,  +271.0
1770984120, +3.22, +27.803,    +2.0, +1100.0,  -452.0,  +504.0
1770984720, +3.22, +27.795,    +6.6, +1107.0,  -440.0,  +536.0
1770985320, +3.22, +27.795,   +13.2, +1087.0,  -464.0,  +456.0
1770985920, +3.22, +27.787,   +26.5, +1196.0,  -474.0,  +335.0
1770986520, +3.22, +27.779,   +39.2, +1120.0,  -461.0,  +508.0
1770987120, +3.22, +27.762,   +51.6, +1196.0,  -449.0,  +319.0
1770987720, +3.22, +27.746,   +70.7, +1105.0,  -452.0,  +460.0
1770988320, +3.22, +27.622,   +93.1, +1110.0,  -456.0,  +486.0
1770988920, +3.22, +27.581,  +102.6, +1116.0,  -440.0,  +518.0
1770989520, +3.22, +27.556,  +134.6, +1116.0,  -452.0,  +496.0
1770990120, +3.22, +27.614,  +155.6, +1097.0,  -448.0,  +510.0
1770990720, +3.22, +27.655,  +174.4, +1112.0,  -472.0,  +463.0
1770991320, +3.22, +27.680,  +177.9, +1136.0,  -452.0,  +499.0
1770991920, +3.22, +27.704,  +245.9, +1103.0,  -450.0,  +488.0
1770992520, +3.22, +27.721,  +255.4, +1107.0,  -466.0,  +513.0
1770993120, +3.22, +27.672,  +288.2, +1200.0,  -448.0,  +312.0
1770993720, +3.22, +27.680,  +328.3, +1196.0,  -464.0,  +324.0
1770994320, +3.22, +27.680,  +354.3, +1096.0,  -461.0,  +486.0
1770994920, +3.22, +27.688,  +388.2, +1120.0,  -464.0,  +512.0
1770995520, +3.22, +27.696,  +439.8, +1097.0,  -461.0,  +513.0
1770996120, +3.22, +27.672,  +484.2, +1200.0,  -448.0,  +288.0
