MiniDOT Logger Concatenated Data File
Sensor:             7530-479402
Concatenation Date: 2026Feb10 14:52:20 CST


            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1718867880,           2024-06-20 07:18:00,           2024-06-20 01:18:00,      3.490000,     28.337000,    125.600000,     -524.000000,     -400.000000,     -620.000000
                1718868480,           2024-06-20 07:28:00,           2024-06-20 01:28:00,      3.490000,     29.235000,      0.000000,     -856.000000,     1028.000000,       24.000000
                1718869080,           2024-06-20 07:38:00,           2024-06-20 01:38:00,      3.490000,     27.342000,    124.500000,     1212.000000,      -29.000000,      348.000000
                1718869680,           2024-06-20 07:48:00,           2024-06-20 01:48:00,      3.490000,     26.780000,    125.600000,     1212.000000,      -20.000000,      348.000000
                1718870280,           2024-06-20 07:58:00,           2024-06-20 01:58:00,      3.490000,     26.632000,    128.300000,     1216.000000,      -20.000000,      344.000000
                1718870880,           2024-06-20 08:08:00,           2024-06-20 02:08:00,      3.490000,     26.590000,    129.100000,     1214.000000,      -26.000000,      348.000000
                1718871480,           2024-06-20 08:18:00,           2024-06-20 02:18:00,      3.490000,     26.590000,    132.600000,     1208.000000,      -24.000000,      358.000000
                1718872080,           2024-06-20 08:28:00,           2024-06-20 02:28:00,      3.490000,     26.607000,    136.500000,     1216.000000,      -24.000000,      344.000000
                1718872680,           2024-06-20 08:38:00,           2024-06-20 02:38:00,      3.490000,     26.623000,    138.900000,     1216.000000,      -29.000000,      336.000000
                1718873280,           2024-06-20 08:48:00,           2024-06-20 02:48:00,      3.490000,     26.640000,    138.800000,     1214.000000,      -26.000000,      344.000000
                1718873880,           2024-06-20 08:58:00,           2024-06-20 02:58:00,      3.490000,     26.648000,    138.300000,     1212.000000,      -24.000000,      344.000000
                1718874480,           2024-06-20 09:08:00,           2024-06-20 03:08:00,      3.490000,     26.648000,    136.300000,     1211.000000,      -20.000000,      348.000000
                1718875080,           2024-06-20 09:18:00,           2024-06-20 03:18:00,      3.490000,     26.640000,    136.700000,     1216.000000,      -32.000000,      348.000000
                1718875680,           2024-06-20 09:28:00,           2024-06-20 03:28:00,      3.500000,     26.656000,    135.800000,     1211.000000,      -16.000000,      352.000000
                1718876280,           2024-06-20 09:38:00,           2024-06-20 03:38:00,      3.500000,     26.681000,    133.700000,     1214.000000,      -10.000000,      348.000000
                1718876880,           2024-06-20 09:48:00,           2024-06-20 03:48:00,      3.500000,     26.689000,    132.100000,     1212.000000,      -24.000000,      344.000000
                1718877480,           2024-06-20 09:58:00,           2024-06-20 03:58:00,      3.500000,     26.665000,    131.100000,     1212.000000,      -26.000000,      344.000000
                1718878080,           2024-06-20 10:08:00,           2024-06-20 04:08:00,      3.500000,     26.656000,    128.000000,     1209.000000,      -16.000000,      344.000000
                1718878680,           2024-06-20 10:18:00,           2024-06-20 04:18:00,      3.500000,     26.640000,    126.900000,     1212.000000,      -24.000000,      348.000000
                1718879280,           2024-06-20 10:28:00,           2024-06-20 04:28:00,      3.500000,     26.648000,    125.500000,     1214.000000,      -29.000000,      342.000000
                1718879880,           2024-06-20 10:38:00,           2024-06-20 04:38:00,      3.500000,     26.681000,    123.400000,     1214.000000,      -32.000000,      344.000000
                1718880480,           2024-06-20 10:48:00,           2024-06-20 04:48:00,      3.500000,     26.673000,    124.300000,     1214.000000,      -29.000000,      348.000000
                1718881080,           2024-06-20 10:58:00,           2024-06-20 04:58:00,      3.500000,     26.665000,    124.000000,     1212.000000,      -24.000000,      344.000000
                1718881680,           2024-06-20 11:08:00,           2024-06-20 05:08:00,      3.500000,     26.673000,    124.400000,     1214.000000,      -26.000000,      344.000000
                1718882280,           2024-06-20 11:18:00,           2024-06-20 05:18:00,      3.500000,     26.665000,    125.300000,     1214.000000,      -29.000000,      342.000000
