7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1770996720, +3.22, +27.597,  +477.8, +1107.0,  -436.0,  +568.0
1770997320, +3.22, +27.416,  +417.2, +1123.0,  -478.0,  +444.0
1770997920, +3.22, +27.284,  +376.3, +1148.0,  -466.0,  +440.0
1770998520, +3.22, +27.202,  +354.7, +1145.0,  -458.0,  +480.0
1770999120, +3.22, +27.037,  +375.1, +1180.0,  -464.0,  +380.0
1770999720, +3.22, +26.913,  +389.2, +1193.0,  -434.0,  +326.0
1771000320, +3.22, +26.822,  +409.5, +1190.0,  -436.0,  +368.0
1771000920, +3.22, +26.764,  +416.0, +1184.0,  -452.0,  +366.0
1771001520, +3.22, +26.656,  +441.1, +1196.0,  -456.0,  +297.0
1771002120, +3.22, +26.532,  +152.3, +1203.0,  -440.0,  +308.0
1771002720, +3.22, +26.391,  +533.2, +1193.0,  -460.0,  +248.0
1771003320, +3.22, +26.358,   +98.7, +1127.0,  -456.0,  +448.0
1771003920, +3.22, +26.325,  +153.6, +1143.0,  -452.0,  +520.0
1771004520, +3.22, +26.143,  +156.6, +1127.0,  -464.0,  +516.0
1771005120, +3.22, +26.333,   +89.7, +1120.0,  -456.0,  +540.0
1771005720, +3.22, +26.342,  +458.7, +1095.0,  -474.0,  +408.0
1771006320, +3.22, +26.309,  +217.2, +1095.0,  -448.0,  +508.0
1771006920, +3.22, +26.814,  +357.7, +1192.0,  -448.0,  +432.0
1771007520, +3.22, +27.243,  +118.5, +1129.0,  -452.0,  +575.0
1771008120, +3.22, +27.433,  +539.6, +1136.0,  -460.0,  +606.0
1771008720, +3.22, +27.581,  +144.4, +1112.0,  -448.0,  +542.0
1771009320, +3.22, +27.548,  +144.1, +1110.0,  -464.0,  +515.0
1771009920, +3.22, +27.548,  +446.4, +1127.0,  -474.0,  +463.0
