Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
215002,15/2/26 17:39:54,0.000,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.948,μmol/L,24.153,°C,1009.000,hPa,Humid,0,0,,0,23.331,96246,304965.12,34.50,2500.00,#N/A
215010,15/2/26 17:39:56,0.033,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.845,μmol/L,24.159,°C,1009.000,hPa,Humid,0,0,,0,23.334,96233,304935.89,34.50,2500.00,#N/A
215018,15/2/26 17:39:58,0.067,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.701,μmol/L,24.165,°C,1009.000,hPa,Humid,0,0,,0,23.339,96228,304922.72,34.50,2500.00,#N/A
215026,15/2/26 17:40:00,0.100,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.581,μmol/L,24.189,°C,1009.000,hPa,Humid,0,0,,0,23.337,96232,304925.79,34.50,2500.00,#N/A
215034,15/2/26 17:40:02,0.134,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.560,μmol/L,24.189,°C,1009.000,hPa,Humid,0,0,,0,23.338,96234,304934.27,34.50,2500.00,#N/A
215042,15/2/26 17:40:04,0.167,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.683,μmol/L,24.177,°C,1009.000,hPa,Humid,0,0,,0,23.336,96232,304909.22,34.50,2500.00,#N/A
215050,15/2/26 17:40:06,0.200,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.663,μmol/L,24.183,°C,1009.000,hPa,Humid,0,0,,0,23.335,96239,304918.03,34.50,2500.00,#N/A
215058,15/2/26 17:40:08,0.233,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.702,μmol/L,24.171,°C,1009.000,hPa,Humid,0,0,,0,23.337,96238,304911.58,34.50,2500.00,#N/A
215066,15/2/26 17:40:10,0.266,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.396,μmol/L,24.202,°C,1009.000,hPa,Humid,0,0,,0,23.342,96251,304919.73,34.50,2500.00,#N/A
215074,15/2/26 17:40:12,0.300,OXY_CH5 (PSt7-10),15/2/26 16:42:41,BECORAL,246.559,μmol/L,24.183,°C,1009.000,hPa,Humid,0,0,,0,23.340,96241,304900.08,34.50,2500.00,#N/A
