Comparison	Z	P.unadj	P.adj	Variable	Species
24 - 30	-0.91059537932596	0.362508606028038	1	Sigma	Poccilopora
25 - 30	-2.90224241588126	0.00370501713118631	0.103740479673217	Sigma	Poccilopora
26 - 30	-2.20302490304277	0.0275929934700816	0.772603817162285	Sigma	Poccilopora
28 - 30	-0.642777839541157	0.5203682644504	1	Sigma	Poccilopora
22 - 32	3.0106175732355	0.00260716989627744	0.0730007570957682	Sigma	Poccilopora
24 - 32	1.36365022322705	0.172677677263714	1	Sigma	Poccilopora
25 - 32	-0.627996813328248	0.530006027545107	1	Sigma	Poccilopora
26 - 32	0.582345734968911	0.560333825275981	1	Sigma	Poccilopora
28 - 32	2.14259279847052	0.0321458099345542	0.900082678167518	Sigma	Poccilopora
30 - 32	2.78537063801168	0.00534665693251083	0.149706394110303	Sigma	Poccilopora
22 - 34	1.59870385732031	0.109886420133174	1	Sigma	Poccilopora
24 - 34	0.210827501617341	0.833021877652416	1	Sigma	Poccilopora
25 - 34	-1.78081953493796	0.074941937048152	1	Sigma	Poccilopora
26 - 34	-0.829567980946279	0.40678308625168	1	Sigma	Poccilopora
28 - 34	0.730679082555331	0.464975195018476	1	Sigma	Poccilopora
30 - 34	1.37345692209649	0.169610344384687	1	Sigma	Poccilopora
32 - 34	-1.41191371591519	0.157975368639749	1	Sigma	Poccilopora
22 - 24	-0.369870905410446	0.711478680640635	1	p	Porites
22 - 25	-0.44204083817346	0.658459654415663	1	p	Porites
24 - 25	-0.0625009951621853	0.950163869466303	1	p	Porites
22 - 26	0.116011553463983	0.907643385284502	1	p	Porites
24 - 26	0.464593942161902	0.642222271248599	1	p	Porites
25 - 26	0.536763874924917	0.591430728027477	1	p	Porites
22 - 28	-0.66844752234009	0.50384796924977	1	p	Porites
24 - 28	-0.175914211109847	0.860361340606047	1	p	Porites
25 - 28	-0.103744278346832	0.917372287176241	1	p	Porites
26 - 28	-0.784459075804072	0.432770786066906	1	p	Porites
22 - 30	1.36451684312399	0.172404956834854	1	p	Porites
24 - 30	1.48399424243947	0.137810448039673	1	p	Porites
25 - 30	1.55616417520249	0.119669057820249	1	p	Porites
26 - 30	1.24850528966	0.211846072484855	1	p	Porites
28 - 30	2.03296436546407	0.0420561232967977	1	p	Porites
22 - 32	1.10487193775221	0.269215083597695	1	p	Porites
24 - 32	1.27199506494812	0.203374872715298	1	p	Porites
25 - 32	1.34416499771114	0.178895037575596	1	p	Porites
26 - 32	0.988860384288232	0.322731455408241	1	p	Porites
28 - 32	1.7733194600923	0.0761757862380372	1	p	Porites
30 - 32	-0.25964490537177	0.795137694420539	1	p	Porites
22 - 34	1.05515270055337	0.29135549260072	1	p	Porites
24 - 34	1.23139947776893	0.218173492203418	1	p	Porites
25 - 34	1.30356941053194	0.192380436020909	1	p	Porites
26 - 34	0.939141147089382	0.347658280735998	1	p	Porites
28 - 34	1.72360022289345	0.0847800382794782	1	p	Porites
30 - 34	-0.30936414257062	0.757044543488173	1	p	Porites
32 - 34	-0.0497192371988496	0.96034612634959	1	p	Porites
22 - 24	-1.62398711288666	0.104378558984305	1	p	Poccilopora
22 - 25	-2.64066602566335	0.00827432401805209	0.231681072505458	p	Poccilopora
24 - 25	-0.880469765956557	0.378604876811279	1	p	Poccilopora
22 - 26	-2.36913310724933	0.0178298353350728	0.499235389382038	p	Poccilopora
24 - 26	-0.310401968945096	0.756255297035316	1	p	Poccilopora
25 - 26	0.706276943831594	0.480015928670073	1	p	Poccilopora
22 - 28	-0.69972070842015	0.48410174128361	1	p	Poccilopora
24 - 28	1.05266754685728	0.292493387423527	1	p	Poccilopora
25 - 28	2.06934645963397	0.0385135868309495	1	p	Poccilopora
26 - 28	1.66941239882918	0.0950356781040841	1	p	Poccilopora
22 - 30	-0.517903516468457	0.604525588428762	1	p	Poccilopora
24 - 30	1.20112066243972	0.229704399017273	1	p	Poccilopora
25 - 30	2.21779957521641	0.0265685011088306	0.743918031047257	p	Poccilopora
26 - 30	1.85122959078087	0.0641365304385076	1	p	Poccilopora
28 - 30	0.181817191951693	0.855726192172095	1	p	Poccilopora
22 - 32	-2.69970981988877	0.00693999787188432	0.194319940412761	p	Poccilopora
24 - 32	-0.580316724549527	0.561701051085795	1	p	Poccilopora
25 - 32	0.436362188227163	0.662573968350737	1	p	Poccilopora
26 - 32	-0.330576712639441	0.740964238755856	1	p	Poccilopora
28 - 32	-1.99998911146862	0.0455014396738273	1	p	Poccilopora
30 - 32	-2.18180630342031	0.0291238311752299	0.815467272906436	p	Poccilopora
22 - 34	-0.936634019145083	0.348946846654939	1	p	Poccilopora
24 - 34	0.859228638674105	0.390214386039204	1	p	Poccilopora
25 - 34	1.8759075514508	0.0606679755481759	1	p	Poccilopora
26 - 34	1.43249908810424	0.152001038898832	1	p	Poccilopora
28 - 34	-0.236913310724933	0.812724043457076	1	p	Poccilopora
30 - 34	-0.418730502676625	0.675413100701363	1	p	Poccilopora
32 - 34	1.76307580074369	0.077887706034513	1	p	Poccilopora
22 - 24	0.327629299801175	0.743191965596978	1	Pmax.e.s	Porites
22 - 25	-0.491443949701763	0.623112486041504	1	Pmax.e.s	Porites
24 - 25	-0.709338241629814	0.47811460254846	1	Pmax.e.s	Porites
22 - 26	-0.395689217084536	0.69233431116869	1	Pmax.e.s	Porites
24 - 26	-0.650708192660668	0.51523487361302	1	Pmax.e.s	Porites
25 - 26	0.16836505684227	0.866296096253722	1	Pmax.e.s	Porites
22 - 28	-1.70327576418369	0.0885164738859349	1	Pmax.e.s	Porites
24 - 28	-1.72480661179335	0.0845623298145365	1	Pmax.e.s	Porites
25 - 28	-0.92049264774464	0.357315373357792	1	Pmax.e.s	Porites
26 - 28	-1.31814016145426	0.187456732356689	1	Pmax.e.s	Porites
22 - 30	-2.95930949678716	0.00308329270016726	0.0863321956046833	Pmax.e.s	Porites
24 - 30	-2.74389538583484	0.00607148831942892	0.17000167294401	Pmax.e.s	Porites
25 - 30	-1.9248221363319	0.054251613643571	1	Pmax.e.s	Porites
26 - 30	-2.56362027970263	0.0103586802466332	0.290043046905731	Pmax.e.s	Porites
28 - 30	-1.17710458862376	0.239153763853509	1	Pmax.e.s	Porites
22 - 32	-3.73396866826252	0.000188485952635218	0.0052776066737861	Pmax.e.s	Porites
24 - 32	-3.37640195072878	0.000734405426840201	0.0205633519515256	Pmax.e.s	Porites
25 - 32	-2.55732870122584	0.0105479494335804	0.295342584140251	Pmax.e.s	Porites
26 - 32	-3.33827945117799	0.000842989220294427	0.0236036981682439	Pmax.e.s	Porites
28 - 32	-1.93110245875603	0.0534703830177386	1	Pmax.e.s	Porites
30 - 32	-0.774659171475359	0.438541082691114	1	Pmax.e.s	Porites
22 - 34	-4.84858618117671	1.24344508623505e-06	3.48164624145814e-05	Pmax.e.s	Porites
24 - 34	-4.28648333906538	1.81523809803166e-05	0.000508266667448864	Pmax.e.s	Porites
25 - 34	-3.46741008956244	0.000525499508453207	0.0147139862366898	Pmax.e.s	Porites
26 - 34	-4.45289696409217	8.47194148530576e-06	0.000237214361588561	Pmax.e.s	Porites
28 - 34	-3.01599148052908	0.00256140456606838	0.0717193278499146	Pmax.e.s	Porites
30 - 34	-1.88927668438954	0.0588547640335203	1	Pmax.e.s	Porites
32 - 34	-1.11461751291419	0.265014362340907	1	Pmax.e.s	Porites
22 - 24	-0.331952789248206	0.739924908186654	1	Pmax.e.s	Poccilopora
22 - 25	-0.0269150910201249	0.978527456984606	1	Pmax.e.s	Poccilopora
24 - 25	0.26417039577745	0.791648621744399	1	Pmax.e.s	Poccilopora
22 - 26	0.170314618398001	0.864762715397849	1	Pmax.e.s	Poccilopora
24 - 26	0.471014092852184	0.637630671025471	1	Pmax.e.s	Poccilopora
25 - 26	0.165976394624103	0.868175526853236	1	Pmax.e.s	Poccilopora
22 - 28	-0.703234553385294	0.481909589036853	1	Pmax.e.s	Poccilopora
24 - 28	-0.242235819181123	0.808597441675137	1	Pmax.e.s	Poccilopora
25 - 28	-0.547273517409204	0.584190834998299	1	Pmax.e.s	Poccilopora
26 - 28	-0.873549171783295	0.382363816844298	1	Pmax.e.s	Poccilopora
22 - 30	-2.14266777984582	0.032139784340194	0.899913961525431	Pmax.e.s	Poccilopora
24 - 30	-1.41752812705991	0.156328576841213	1	Pmax.e.s	Poccilopora
25 - 30	-1.72256582528799	0.0849670695254657	1	Pmax.e.s	Poccilopora
26 - 30	-2.31298239824382	0.0207236069154091	0.580260993631455	Pmax.e.s	Poccilopora
28 - 30	-1.43943322646052	0.150027816044002	1	Pmax.e.s	Poccilopora
22 - 32	-2.91183057261098	0.00359317475324686	0.100608893090912	Pmax.e.s	Poccilopora
24 - 32	-2.04554691752949	0.0408009686430822	1	Pmax.e.s	Poccilopora
25 - 32	-2.35058461575757	0.0187439453791861	0.52483047061721	Pmax.e.s	Poccilopora
26 - 32	-3.08214519100899	0.00205514569783005	0.0575440795392413	Pmax.e.s	Poccilopora
28 - 32	-2.20859601922569	0.0272027524860972	0.761677069610722	Pmax.e.s	Poccilopora
30 - 32	-0.769162792765166	0.441796675284805	1	Pmax.e.s	Poccilopora
22 - 34	-4.19193722057015	2.76582541275117e-05	0.000774431115570326	Pmax.e.s	Poccilopora
24 - 34	-3.090749618811	0.00199651910666772	0.0559025349866961	Pmax.e.s	Poccilopora
25 - 34	-3.39578731703908	0.000684315104549056	0.0191608229273736	Pmax.e.s	Poccilopora
26 - 34	-4.36225183896815	1.28730565475175e-05	0.000360445583330489	Pmax.e.s	Poccilopora
28 - 34	-3.48870266718486	0.000485370719851761	0.0135903801558493	Pmax.e.s	Poccilopora
30 - 34	-2.04926944072433	0.040435775139525	1	Pmax.e.s	Poccilopora
32 - 34	-1.28010664795917	0.200507630929772	1	Pmax.e.s	Poccilopora
22 - 24	0.56519218746307	0.57194304999903	1	Fm	Porites
22 - 25	1.19318350686648	0.232797512547087	1	Fm	Porites
24 - 25	0.543856435959462	0.586540269221829	1	Fm	Porites
22 - 26	0.368083234979216	0.712811171250924	1	Fm	Porites
24 - 26	-0.264653484605723	0.791276413926904	1	Fm	Porites
25 - 26	-0.892644804009134	0.372047417615814	1	Fm	Porites
22 - 28	0.648265995933545	0.516812923274568	1	Fm	Porites
24 - 28	-0.0358852182516234	0.971373882402995	1	Fm	Porites
25 - 28	-0.663876537655035	0.506769333998794	1	Fm	Porites
26 - 28	0.280182760954328	0.779337291972699	1	Fm	Porites
22 - 30	-0.274688981327773	0.783555197273087	1	Fm	Porites
24 - 30	-0.789474801535716	0.429834551825196	1	Fm	Porites
25 - 30	-1.41746612093913	0.156346692790052	1	Fm	Porites
26 - 30	-0.64277221630699	0.5203719137518	1	Fm	Porites
28 - 30	-0.922954977261318	0.356030668414395	1	Fm	Porites
22 - 32	0.659253555186656	0.509732961555822	1	Fm	Porites
24 - 32	-0.0269139136887174	0.978528396018984	1	Fm	Porites
25 - 32	-0.654905233092129	0.512528770750695	1	Fm	Porites
26 - 32	0.291170320207439	0.77092106066016	1	Fm	Porites
28 - 32	0.0109875592531111	0.991233372505372	1	Fm	Porites
30 - 32	0.933942536514429	0.350333535436643	1	Fm	Porites
22 - 34	2.13708027473008	0.032591463015324	0.912560964429073	Fm	Porites
24 - 34	1.17972655002212	0.23810899068869	1	Fm	Porites
25 - 34	0.551735230618711	0.581129768574393	1	Fm	Porites
26 - 34	1.76899703975086	0.076894368597851	1	Fm	Porites
28 - 34	1.48881427879653	0.136536281238027	1	Fm	Porites
30 - 34	2.41176925605785	0.0158753250063429	0.4445091001776	Fm	Porites
32 - 34	1.47782671954342	0.139454164633771	1	Fm	Porites
22 - 24	1.49820786200528	0.134079253625444	1	Fm	Poccilopora
22 - 25	1.56997829850853	0.11642016010781	1	Fm	Poccilopora
24 - 25	0.0621550212525096	0.95043938103483	1	Fm	Poccilopora
22 - 26	2.29639988390018	0.0216530276116195	0.606284773125345	Fm	Poccilopora
24 - 26	0.376794791642046	0.706326111634104	1	Fm	Poccilopora
25 - 26	0.3050243551388	0.760347602959443	1	Fm	Poccilopora
22 - 28	0.461477488630659	0.644456068541339	1	Fm	Poccilopora
24 - 28	-1.12141307036323	0.262112075144663	1	Fm	Poccilopora
25 - 28	-1.19318350686648	0.232797512547088	1	Fm	Poccilopora
26 - 28	-1.83492239526952	0.0665171888669068	1	Fm	Poccilopora
22 - 30	-0.153825829543553	0.877747067194505	1	Fm	Poccilopora
24 - 30	-1.62380612588596	0.104417192251267	1	Fm	Poccilopora
25 - 30	-1.69557656238921	0.0899660995042592	1	Fm	Poccilopora
26 - 30	-2.45022571344374	0.0142766688310938	0.399746727270626	Fm	Poccilopora
28 - 30	-0.615303318174212	0.538354426643939	1	Fm	Poccilopora
22 - 32	2.82929650767606	0.00466504563224921	0.130621277702978	Fm	Poccilopora
24 - 32	0.811903062942981	0.416847256778796	1	Fm	Poccilopora
25 - 32	0.740132626439734	0.459219523397617	1	Fm	Poccilopora
26 - 32	0.53289662377588	0.594105142484715	1	Fm	Poccilopora
28 - 32	2.3678190190454	0.0178932863297913	0.501012017234156	Fm	Poccilopora
30 - 32	2.98312233721962	0.00285323921949929	0.0798906981459802	Fm	Poccilopora
22 - 34	2.37880657829852	0.0173687870446155	0.486326037249234	Fm	Poccilopora
24 - 34	0.444079575863841	0.656985052343584	1	Fm	Poccilopora
25 - 34	0.372309139360594	0.709662694737204	1	Fm	Poccilopora
26 - 34	0.082406694398332	0.934323312798225	1	Fm	Poccilopora
28 - 34	1.91732908966786	0.0551961365548026	1	Fm	Poccilopora
30 - 34	2.53263240784207	0.0113209604169555	0.316986891674753	Fm	Poccilopora
32 - 34	-0.450489929377548	0.6523572140284	1	Fm	Poccilopora
22 - 24	-1.79432370276553	0.0727615169837654	1	TauAv1	Porites
22 - 25	-2.68251393563447	0.00730711073493116	0.204599100578073	TauAv1	Porites
24 - 25	-0.769195305057717	0.441777377145294	1	TauAv1	Porites
22 - 26	-2.41185365595485	0.0158716507249272	0.444406220297963	TauAv1	Porites
24 - 26	-0.17494656101964	0.861121623995193	1	TauAv1	Porites
25 - 26	0.713243671849299	0.475694986501101	1	TauAv1	Porites
22 - 28	-0.626312794484859	0.531109795905169	1	TauAv1	Porites
24 - 28	1.28294144747736	0.199512590452552	1	TauAv1	Porites
25 - 28	2.17113168034629	0.0299212198895743	0.83779415690808	TauAv1	Porites
26 - 28	1.78554086146999	0.0741736296229806	1	TauAv1	Porites
22 - 30	-0.818601810335474	0.41301363379372	1	TauAv1	Porites
24 - 30	1.12593812348537	0.260191711119212	1	TauAv1	Porites
25 - 30	2.01412835635431	0.0439960590868064	1	TauAv1	Porites
26 - 30	1.59325184561938	0.11110370465031	1	TauAv1	Porites
28 - 30	-0.192289015850615	0.8475158219347	1	TauAv1	Porites
22 - 32	-0.966939051134519	0.333574503244919	1	TauAv1	Porites
24 - 32	1.0048212735487	0.314982918265508	1	TauAv1	Porites
25 - 32	1.89301150641764	0.0583563392977249	1	TauAv1	Porites
26 - 32	1.44491460482033	0.14848187348853	1	TauAv1	Porites
28 - 32	-0.34062625664966	0.733384960362463	1	TauAv1	Porites
30 - 32	-0.148337240799045	0.882076626539203	1	TauAv1	Porites
22 - 34	-2.89532318152211	0.00378768350860913	0.106055138241056	TauAv1	Porites
24 - 34	-0.569697775628057	0.568882699011697	1	TauAv1	Porites
25 - 34	0.318492457240882	0.750111415268491	1	TauAv1	Porites
26 - 34	-0.483469525567259	0.628762392725965	1	TauAv1	Porites
28 - 34	-2.26901038703725	0.0232676942224519	0.651495438228654	TauAv1	Porites
30 - 34	-2.07672137118664	0.0378272829524789	1	TauAv1	Porites
32 - 34	-1.92838413038759	0.0538073642689707	1	TauAv1	Porites
22 - 24	0.0269150910201252	0.978527456984606	1	TauAv1	Poccilopora
22 - 25	-0.699792366523245	0.484056982608551	1	TauAv1	Poccilopora
24 - 25	-0.62934711935216	0.529121829641093	1	TauAv1	Poccilopora
22 - 26	-0.664776413747036	0.506193510681036	1	TauAv1	Poccilopora
24 - 26	-0.569702759925975	0.568879317841017	1	TauAv1	Poccilopora
25 - 26	0.157004697617395	0.87524114585729	1	TauAv1	Poccilopora
22 - 28	1.12627408940614	0.260049521587835	1	TauAv1	Poccilopora
24 - 28	0.892683852167472	0.372026500253234	1	TauAv1	Poccilopora
25 - 28	1.61939130971084	0.105363095458329	1	TauAv1	Poccilopora
26 - 28	1.79105050315317	0.0732851909931612	1	TauAv1	Poccilopora
22 - 30	1.0933099697162	0.274257727042895	1	TauAv1	Poccilopora
24 - 30	0.865768761147348	0.386616983459725	1	TauAv1	Poccilopora
25 - 30	1.59247621869072	0.111277742432726	1	TauAv1	Poccilopora
26 - 30	1.75808638346324	0.0787328122673246	1	TauAv1	Poccilopora
28 - 30	-0.0329641196899354	0.973703200421025	1	TauAv1	Poccilopora
22 - 32	-0.615330234212133	0.538336654654444	1	TauAv1	Poccilopora
24 - 32	-0.529330123395788	0.596576462404449	1	TauAv1	Poccilopora
25 - 32	0.197377334147582	0.843532265451916	1	TauAv1	Poccilopora
26 - 32	0.049446179534903	0.960563727198867	1	TauAv1	Poccilopora
28 - 32	-1.74160432361827	0.0815777042885139	1	TauAv1	Poccilopora
30 - 32	-1.70864020392833	0.0875176166734596	1	TauAv1	Poccilopora
22 - 34	-1.21967242852762	0.222589077572551	1	TauAv1	Poccilopora
24 - 34	-1.02277345876474	0.306414969810687	1	TauAv1	Poccilopora
25 - 34	-0.296066001221373	0.767179677719338	1	TauAv1	Poccilopora
26 - 34	-0.554896014780584	0.578965787925471	1	TauAv1	Poccilopora
28 - 34	-2.34594651793376	0.0189788305398995	0.531407255117187	TauAv1	Poccilopora
30 - 34	-2.31298239824382	0.0207236069154091	0.580260993631454	TauAv1	Poccilopora
32 - 34	-0.604342194315487	0.545616159051845	1	TauAv1	Poccilopora
